seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12
0	#66ccff	#000000	#00000000	#00000000	Starting tile pattern based on a chevron tiling in a <a href="https://cs.uwaterloo.ca/~csk/hat/examples/animation.gif">looping animated GIF</a> by David Smith, Joseph Samuel Myers, Craig S. Kaplan, and Chaim Goodman-Strauss, used under <a href="http://creativecommons.org/licenses/by/4.0/">CC BY 4.0</a> / This is a recreation of the original rather than a screenshot, and the cropping, colors, and vertical orientation differ slightly from the original.	53.498549	54.701979	20.660708	20.906270	20.660708	20.906270	19.526799	18.274774	16.680901	17.941018	16.680901	17.941018	16.680901	17.941018	16.680901	17.941018	17.814810	20.572514	16.102821	22.870256	16.102821	22.870256	16.102821	22.870256	18.948718	23.204013	20.660708	20.906270
1	#A0A0A0	#000000	#00000000	#00000000		53.498549	54.701979	21.238789	15.977031	21.238789	15.977031	19.526799	18.274774	20.660708	20.906270	20.660708	20.906270	20.660708	20.906270	20.660708	20.906270	22.372698	18.608528	25.218596	18.942284	25.218596	18.942284	25.218596	18.942284	24.084687	16.310788	21.238789	15.977031
2	#ffffff	#000000	#00000000	#00000000		53.498549	54.701979	16.680901	17.941018	16.680901	17.941018	19.526799	18.274774	21.238789	15.977031	21.238789	15.977031	21.238789	15.977031	21.238789	15.977031	18.392891	15.643275	17.258983	13.011776	17.258983	13.011776	17.258983	13.011776	15.546993	15.309519	16.680901	17.941018
3	#ffffff	#000000	#00000000	#00000000		53.498549	54.701979	12.701095	14.975762	12.701095	14.975762	13.835003	17.607261	16.680901	17.941018	16.680901	17.941018	16.680901	17.941018	16.680901	17.941018	15.546993	15.309519	17.258983	13.011776	17.258983	13.011776	17.258983	13.011776	14.413085	12.678020	12.701095	14.975762
4	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	12.123013	19.905004	12.123013	19.905004	14.968911	20.238760	16.680901	17.941018	16.680901	17.941018	16.680901	17.941018	16.680901	17.941018	13.835003	17.607261	12.701095	14.975762	12.701095	14.975762	12.701095	14.975762	10.989105	17.273505	12.123013	19.905004
5	#006699	#000000	#00000000	#00000000		53.498549	54.701979	16.102821	22.870256	16.102821	22.870256	13.256923	22.536500	12.123013	19.905004	12.123013	19.905004	12.123013	19.905004	12.123013	19.905004	14.968911	20.238760	16.680901	17.941018	16.680901	17.941018	16.680901	17.941018	17.814810	20.572514	16.102821	22.870256
6	#A0A0A0	#000000	#00000000	#00000000		53.498549	54.701979	25.796676	14.013045	25.796676	14.013045	22.950778	13.679289	21.238789	15.977031	21.238789	15.977031	21.238789	15.977031	21.238789	15.977031	24.084687	16.310788	25.218595	18.942287	25.218595	18.942287	25.218595	18.942287	26.930584	16.644544	25.796676	14.013045
7	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	21.238789	15.977031	21.238789	15.977031	22.950778	13.679289	21.816869	11.047793	21.816869	11.047793	21.816869	11.047793	21.816869	11.047793	20.104879	13.345535	17.258982	13.011779	17.258982	13.011779	17.258982	13.011779	18.392891	15.643275	21.238789	15.977031
8	#006699	#000000	#00000000	#00000000		53.498549	54.701979	21.816869	11.047793	21.816869	11.047793	20.104879	13.345535	17.258982	13.011779	17.258982	13.011779	17.258982	13.011779	17.258982	13.011779	18.970971	10.714036	17.837063	8.082537	17.837063	8.082537	17.837063	8.082537	20.682961	8.416294	21.816869	11.047793
9	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	17.258983	13.011776	17.258983	13.011776	18.970972	10.714033	17.837064	8.082535	17.837064	8.082535	17.837064	8.082535	17.837064	8.082535	16.125074	10.380277	13.279177	10.046521	13.279177	10.046521	13.279177	10.046521	14.413085	12.678020	17.258983	13.011776
