seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12
0	#006699	#000000	#00000000	#00000000	Starting tile pattern based on <a href="https://cs.uwaterloo.ca/~csk/hat/examples/patch647.png">patch647.png</a> by David Smith, Joseph Samuel Myers, Craig S. Kaplan, and Chaim Goodman-Strauss, used under <a href="http://creativecommons.org/licenses/by/4.0/">CC BY 4.0</a> / The colors have been changed to be simlar to <a href="https://cs.uwaterloo.ca/~csk/hat/">other examples</a> by the authors. The cropping may also differ slightly or substantially (depending on the window size).	0.866250	0.545580	0.412500	0.279285	0.416250	0.272790	0.405000	0.266295	0.393750	0.272790	0.390000	0.266295	0.375000	0.266295	0.371250	0.272790	0.382500	0.279285	0.382500	0.292275	0.390000	0.292275	0.393750	0.298770	0.405000	0.292275	0.405000	0.279285
1	#66ccff	#000000	#00000000	#00000000		0.866250	0.545580	0.390000	0.240315	0.393750	0.233820	0.405000	0.240315	0.405000	0.253305	0.412500	0.253305	0.420000	0.266295	0.416250	0.272790	0.405000	0.266295	0.393750	0.272790	0.390000	0.266295	0.382500	0.266295	0.382500	0.253305	0.393750	0.246810
2	#66ccff	#000000	#00000000	#00000000		0.866250	0.545580	0.435000	0.292275	0.438750	0.298770	0.427500	0.305265	0.416250	0.298770	0.412500	0.305265	0.397500	0.305265	0.393750	0.298770	0.405000	0.292275	0.405000	0.279285	0.412500	0.279285	0.416250	0.272790	0.427500	0.279285	0.427500	0.292275
3	#66ccff	#000000	#00000000	#00000000		0.866250	0.545580	0.367500	0.279285	0.371250	0.272790	0.382500	0.279285	0.382500	0.292275	0.390000	0.292275	0.397500	0.305265	0.393750	0.311760	0.382500	0.305265	0.371250	0.311760	0.367500	0.305265	0.360000	0.305265	0.360000	0.292275	0.371250	0.285780
4	#ffffff	#000000	#00000000	#00000000		0.866250	0.545580	0.345000	0.292275	0.337500	0.292275	0.337500	0.279285	0.348750	0.272790	0.345000	0.266295	0.352500	0.253305	0.360000	0.253305	0.360000	0.266295	0.371250	0.272790	0.367500	0.279285	0.371250	0.285780	0.360000	0.292275	0.348750	0.285780
5	#ffffff	#000000	#00000000	#00000000		0.866250	0.545580	0.352500	0.253305	0.348750	0.246810	0.360000	0.240315	0.371250	0.246810	0.375000	0.240315	0.390000	0.240315	0.393750	0.246810	0.382500	0.253305	0.382500	0.266295	0.375000	0.266295	0.371250	0.272790	0.360000	0.266295	0.360000	0.253305
6	#66ccff	#000000	#00000000	#00000000		0.866250	0.545580	0.307500	0.279285	0.303750	0.272790	0.315000	0.266295	0.326250	0.272790	0.330000	0.266295	0.345000	0.266295	0.348750	0.272790	0.337500	0.279285	0.337500	0.292275	0.330000	0.292275	0.326250	0.298770	0.315000	0.292275	0.315000	0.279285
7	#66ccff	#000000	#00000000	#00000000		0.866250	0.545580	0.352500	0.227325	0.360000	0.227325	0.360000	0.240315	0.348750	0.246810	0.352500	0.253305	0.345000	0.266295	0.337500	0.266295	0.337500	0.253305	0.326250	0.246810	0.330000	0.240315	0.326250	0.233820	0.337500	0.227325	0.348750	0.233820
8	#006699	#000000	#00000000	#00000000		0.866250	0.545580	0.330000	0.240315	0.326250	0.233820	0.315000	0.240315	0.315000	0.253305	0.307500	0.253305	0.300000	0.266295	0.303750	0.272790	0.315000	0.266295	0.326250	0.272790	0.330000	0.266295	0.337500	0.266295	0.337500	0.253305	0.326250	0.246810
9	#66ccff	#000000	#00000000	#00000000		0.866250	0.545580	0.285000	0.240315	0.281250	0.233820	0.292500	0.227325	0.303750	0.233820	0.307500	0.227325	0.322500	0.227325	0.326250	0.233820	0.315000	0.240315	0.315000	0.253305	0.307500	0.253305	0.303750	0.259800	0.292500	0.253305	0.292500	0.240315
10	#ffffff	#000000	#00000000	#00000000		0.866250	0.545580	0.285000	0.214335	0.281250	0.207840	0.292500	0.201345	0.303750	0.207840	0.307500	0.201345	0.322500	0.201345	0.326250	0.207840	0.315000	0.214335	0.315000	0.227325	0.307500	0.227325	0.303750	0.233820	0.292500	0.227325	0.292500	0.214335
11	#ffffff	#000000	#00000000	#00000000		0.866250	0.545580	0.322500	0.201345	0.326250	0.194850	0.337500	0.201345	0.337500	0.214335	0.345000	0.214335	0.352500	0.227325	0.348750	0.233820	0.337500	0.227325	0.326250	0.233820	0.322500	0.227325	0.315000	0.227325	0.315000	0.214335	0.326250	0.207840
12	#66ccff	#000000	#00000000	#00000000		0.866250	0.545580	0.277500	0.175365	0.281250	0.168870	0.292500	0.175365	0.292500	0.188355	0.300000	0.188355	0.307500	0.201345	0.303750	0.207840	0.292500	0.201345	0.281250	0.207840	0.277500	0.201345	0.270000	0.201345	0.270000	0.188355	0.281250	0.181860
13	#66ccff	#000000	#00000000	#00000000		0.866250	0.545580	0.345000	0.188355	0.348750	0.194850	0.337500	0.201345	0.326250	0.194850	0.322500	0.201345	0.307500	0.201345	0.303750	0.194850	0.315000	0.188355	0.315000	0.175365	0.322500	0.175365	0.326250	0.168870	0.337500	0.175365	0.337500	0.188355
14	#006699	#000000	#00000000	#00000000		0.866250	0.545580	0.322500	0.175365	0.326250	0.168870	0.315000	0.162375	0.303750	0.168870	0.300000	0.162375	0.285000	0.162375	0.281250	0.168870	0.292500	0.175365	0.292500	0.188355	0.300000	0.188355	0.303750	0.194850	0.315000	0.188355	0.315000	0.175365
