tile_id	color	start_edge	match_id	match_edge	footnote
1	lb	LP			Starting tile pattern based on the hat tiling in a <a href="https://cs.uwaterloo.ca/~csk/hat/examples/animation.gif">looping animated GIF</a> by David Smith, Joseph Samuel Myers, Craig S. Kaplan, and Chaim Goodman-Strauss, used under <a href="http://creativecommons.org/licenses/by/4.0/">CC BY 4.0</a> / This is a recreation of the original rather than a screenshot, and the cropping, colors, and vertical orientation differ slightly from the original.
2	g	RN	1	LH	
3	w	RN	2	LH	
4	w	RS	1	RS	
5	lb	RH	4	RN	
6	db	LW	5	RN	
7	g	RH	2	LP	
8	lb	LS	7	LN	
9	db	LN	8	RW	
10	lb	LT	4	LW	
11	lb	LN	10	LW	
12	g	RH	11	LP	
13	w	LT	12	LS	
14	w	LP	13	RH	
15	lb	LP	14	RH	
16	g	LW	15	LN	
17	g	LT	16	RP	
18	lb	LH	17	RN	
19	w	LW	18	LN	
20	w	LP	19	RH	
21	lb	LH	20	RN	
22	lb	LT	20	RP	
23	g	RN	22	LH	
24	lb	LH	21	RN	
25	db	RT	24	RT	
26	lb	RH	19	RN	
27	g	RW	26	LH	
28	g	LP	27	LH	
29	lb	LW	27	LN	
30	db	LT	29	LN	
31	g	LW	28	RT	
32	lb	LS	31	LN	
33	lb	LW	31	RT	
34	g	RS	31	RS	
35	w	LW	33	LN	
36	lb	RH	35	RN	
37	db	LW	36	RN	
38	lb	RS	35	RS	
39	g	LN	36	LW	
40	lb	LN	39	LW	
41	db	RN	40	RT	
42	g	RT	40	LW	
43	g	RT	42	LW	
44	lb	LT	43	LW	
45	g	LN	44	LW	
46	g	LS	45	LT	
47	lb	LH	46	RN	
48	lb	LN	46	LW	
49	g	LW	46	RT	
50	g	RS	49	RS	
51	lb	LP	50	RH	
52	w	LH	51	RN	
53	w	RH	52	LP	
54	db	RN	47	RT	
55	lb	LH	53	RW	
56	lb	LN	55	LW	
57	db	RS	56	RP	
59	w	RW	56	RH	
58	lb	LW	59	RT	
60	lb	RS	59	RS	
61	w	LH	58	RN	
62	lb	LW	61	RT	
63	w	RH	61	LP	
64	db	RN	62	RT	
65	g	RN	62	LH	
66	g	RH	65	LP	
67	g	LP	66	LH	
68	lb	LW	67	LN	
69	db	LT	68	LN	
70	w	LH	22	RN	
71	w	RH	70	LP	
72	g	LS	71	LT	
73	db	LH	72	DW	
74	lb	LS	73	LP	
75	w	LS	74	RT	
76	w	LT	75	RP	
77	lb	LW	76	RT	
78	g	RS	76	RS	
79	lb	LP	78	RH	
80	db	RT	79	RT	
81	lb	RS	75	RS	
82	w	RH	81	LP	
83	lb	RH	82	RN	
84	w	LW	83	LT	
85	lb	LS	84	LT	
86	db	RT	85	RT	
87	lb	RT	82	LW	
88	lb	LN	87	LW	
89	w	LW	87	LT	
90	lb	RH	89	RN	
91	db	LT	90	LN	
92	lb	LW	70	RT	
93	g	LN	92	LS	
94	lb	LN	93	LW	
95	db	RN	94	RT	
96	w	RT	94	LW	
97	g	RS	96	RS	
98	g	LS	97	LT	
99	g	LT	98	RP	
100	lb	LW	99	RT	
101	w	LS	100	LN	
102	lb	LT	101	RP	
103	g	RT	85	LW	
104	lb	LW	103	LN	
105	db	LT	104	LN	
107	w	LT	103	LS	
106	w	LT	107	RP	
108	lb	RT	107	LS	
109	g	LN	108	LW	
110	db	LT	108	LN	
111	lb	RP	110	RW	
112	g	LT	109	LS	
113	g	LT	112	LS	
114	g	LT	113	RP	
115	lb	LN	113	LW	
116	g	RS	112	RS	
117	g	LT	112	RP	
118	db	RS	115	RP	
119	lb	LW	114	RT	
120	lb	LS	118	LP	
121	g	LW	120	LT	
122	g	LN	120	LW	
123	g	LW	122	RT	
124	w	LT	123	LS	
125	w	LT	124	RP	
126	lb	LT	125	RP	
127	lb	LT	124	LW	
128	db	LT	127	LN	
129	lb	RP	128	RW	
130	g	RT	129	LW	
