seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12
0	#66ccff	#000000	#00000000	#00000000	Starting tile pattern based on the hat tiling in a <a href="https://cs.uwaterloo.ca/~csk/hat/examples/animation.gif">looping animated GIF</a> by David Smith, Joseph Samuel Myers, Craig S. Kaplan, and Chaim Goodman-Strauss, used under <a href="http://creativecommons.org/licenses/by/4.0/">CC BY 4.0</a> / This is a recreation of the original rather than a screenshot, and the cropping, colors, and vertical orientation differ slightly from the original.	53.195280	54.086888	20.594034	19.590945	21.301141	18.883838	20.076396	17.659093	18.403363	18.107381	18.144544	17.141455	16.212692	16.623817	15.505585	17.330924	16.730330	18.555669	16.282042	20.228702	17.247968	20.487521	17.506787	21.453447	19.179820	21.005159	19.628108	19.332126
1	#A0A0A0	#000000	#00000000	#00000000		53.195280	54.086888	21.490610	16.244879	20.524684	15.986060	20.076396	17.659093	21.301141	18.883838	20.594034	19.590945	21.111672	21.522797	22.077598	21.781616	22.525886	20.108583	24.198919	19.660295	23.940100	18.694369	24.647207	17.987262	23.422462	16.762517	21.749429	17.210805
2	#ffffff	#000000	#00000000	#00000000		53.195280	54.086888	18.144543	17.141455	18.403362	18.107381	20.076395	17.659093	20.524683	15.986060	21.490610	16.244879	22.904823	14.830665	22.646004	13.864739	20.972971	14.313027	19.748226	13.088282	19.041119	13.795389	18.075193	13.536570	17.626905	15.209603	18.851650	16.434348
3	#ffffff	#000000	#00000000	#00000000		53.195280	54.086888	13.763202	14.174327	13.056095	14.881434	14.280840	16.106179	15.953873	15.657891	16.212692	16.623817	18.144544	17.141455	18.851651	16.434348	17.626906	15.209603	18.075194	13.536570	17.109268	13.277751	16.850449	12.311825	15.177416	12.760113	14.729128	14.433146
4	#66ccff	#000000	#00000000	#00000000		53.195280	54.086888	11.452412	18.934607	11.711231	19.900533	13.384264	19.452245	13.832552	17.779212	14.798478	18.038031	16.212692	16.623818	15.953873	15.657891	14.280840	16.106179	13.056095	14.881434	12.348988	15.588541	11.383062	15.329722	10.934774	17.002755	12.159519	18.227500
5	#006699	#000000	#00000000	#00000000		53.195280	54.086888	17.247968	20.487521	17.506787	21.453447	15.833754	21.901735	14.609009	20.676990	13.901902	21.384097	11.970050	20.866459	11.711231	19.900533	13.384264	19.452245	13.832552	17.779212	14.798478	18.038031	15.505585	17.330924	16.730330	18.555669	16.282042	20.228702
6	#A0A0A0	#000000	#00000000	#00000000		53.195280	54.086888	26.250890	13.934089	25.992071	12.968163	24.319038	13.416451	23.870750	15.089484	22.904824	14.830665	21.490610	16.244878	21.749429	17.210805	23.422462	16.762517	24.647207	17.987262	25.354314	17.280155	26.320240	17.538974	26.768528	15.865941	25.543783	14.641196
7	#66ccff	#000000	#00000000	#00000000		53.195280	54.086888	22.904824	14.830665	23.870750	15.089484	24.319038	13.416451	23.094293	12.191706	23.801400	11.484599	23.283762	9.552747	22.317836	9.293928	21.869548	10.966961	20.196515	11.415249	20.455334	12.381175	19.748227	13.088282	20.972972	14.313027	22.646005	13.864739
8	#006699	#000000	#00000000	#00000000		53.195280	54.086888	21.351910	9.035108	22.317836	9.293927	21.869548	10.966960	20.196515	11.415248	20.455334	12.381175	19.041120	13.795388	18.075194	13.536569	18.523482	11.863536	17.298737	10.638791	18.005844	9.931684	17.747025	8.965758	19.420058	8.517470	20.644803	9.742215
9	#66ccff	#000000	#00000000	#00000000		53.195280	54.086888	17.109268	13.277751	18.075194	13.536570	18.523482	11.863537	17.298737	10.638792	18.005844	9.931685	17.488206	7.999833	16.522280	7.741014	16.073992	9.414047	14.400959	9.862335	14.659778	10.828261	13.952671	11.535368	15.177416	12.760113	16.850449	12.311825
10	#66ccff	#000000	#00000000	#00000000		53.195280	54.086888	13.763202	14.174327	14.729128	14.433146	15.177416	12.760113	13.952671	11.535368	14.659778	10.828261	14.142140	8.896409	13.176214	8.637590	12.727926	10.310623	11.054893	10.758911	11.313712	11.724837	10.606605	12.431944	11.831350	13.656689	13.504383	13.208401
11	#A0A0A0	#000000	#00000000	#00000000		53.195280	54.086888	9.002922	16.485117	9.261741	17.451043	10.934774	17.002755	11.383062	15.329722	12.348988	15.588541	13.763202	14.174328	13.504383	13.208401	11.831350	13.656689	10.606605	12.431944	9.899498	13.139051	8.933572	12.880232	8.485284	14.553265	9.710029	15.778010
12	#ffffff	#000000	#00000000	#00000000		53.195280	54.086888	9.002922	16.485117	8.036996	16.226298	7.588708	17.899331	8.813453	19.124076	8.106346	19.831183	8.623984	21.763035	9.589910	22.021854	10.038198	20.348821	11.711231	19.900533	11.452412	18.934607	12.159519	18.227500	10.934774	17.002755	9.261741	17.451043
13	#ffffff	#000000	#00000000	#00000000		53.195280	54.086888	8.623984	21.763035	7.916877	22.470142	9.141622	23.694887	10.814655	23.246599	11.073474	24.212525	13.005326	24.730163	13.712433	24.023056	12.487688	22.798311	12.935976	21.125278	11.970050	20.866459	11.711231	19.900533	10.038198	20.348821	9.589910	22.021854
14	#66ccff	#000000	#00000000	#00000000		53.195280	54.086888	13.005326	24.730163	13.264145	25.696089	14.937178	25.247801	15.385466	23.574768	16.351392	23.833587	17.765606	22.419373	17.506787	21.453447	15.833754	21.901735	14.609009	20.676990	13.901902	21.384097	12.935976	21.125278	12.487688	22.798311	13.712433	24.023056
15	#A0A0A0	#000000	#00000000	#00000000		53.195280	54.086888	15.454816	27.179653	15.713635	28.145579	17.386668	27.697291	17.834956	26.024258	18.800882	26.283077	20.215096	24.868864	19.956277	23.902938	18.283244	24.351226	17.058499	23.126481	16.351392	23.833588	15.385466	23.574769	14.937178	25.247801	16.161923	26.472546
16	#A0A0A0	#000000	#00000000	#00000000		53.195280	54.086888	20.215096	24.868864	21.181022	25.127683	21.629310	23.454650	20.404565	22.229905	21.111672	21.522798	20.594034	19.590946	19.628108	19.332127	19.179820	21.005160	17.506787	21.453448	17.765606	22.419374	17.058499	23.126481	18.283244	24.351226	19.956277	23.902938
17	#66ccff	#000000	#00000000	#00000000		53.195280	54.086888	21.111672	21.522798	20.404565	22.229905	21.629310	23.454650	23.302343	23.006362	23.561162	23.972288	25.493014	24.489926	26.200121	23.782819	24.975376	22.558074	25.423664	20.885041	24.457738	20.626222	24.198919	19.660296	22.525886	20.108584	22.077598	21.781617
18	#ffffff	#000000	#00000000	#00000000		53.195280	54.086888	20.215096	24.868864	19.507989	25.575971	20.732734	26.800716	22.405767	26.352428	22.664586	27.318354	24.596438	27.835992	25.303545	27.128885	24.078800	25.904140	24.527088	24.231107	23.561162	23.972288	23.302343	23.006362	21.629310	23.454650	21.181022	25.127683
19	#ffffff	#000000	#00000000	#00000000		53.195280	54.086888	24.596438	27.835992	24.855257	28.801918	26.528290	28.353630	26.976578	26.680597	27.942504	26.939416	29.356718	25.525202	29.097899	24.559276	27.424866	25.007564	26.200121	23.782819	25.493014	24.489926	24.527088	24.231107	24.078800	25.904140	25.303545	27.128885
20	#66ccff	#000000	#00000000	#00000000		53.195280	54.086888	27.942504	26.939416	26.976578	26.680597	26.528290	28.353630	27.753035	29.578375	27.045928	30.285482	27.563566	32.217334	28.529492	32.476153	28.977780	30.803120	30.650813	30.354832	30.391994	29.388906	31.099101	28.681799	29.874356	27.457054	28.201323	27.905342
