seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5
0	#FF3838	#FF3838	#38FF38	#38FF38	13.000000	14.722432	1.500000	0.000000	1.000000	0.866025	0.000000	0.866025	-0.500000	0.000000	0.000000	-0.866025	1.000000	-0.866025
1	#FF4444	#FF3838	#44FF44	#38FF38	13.000000	14.722432	3.000000	0.866025	2.500000	1.732051	1.500000	1.732051	1.000000	0.866025	1.500000	0.000000	2.500000	0.000000
2	#FF5050	#FF3838	#50FF50	#38FF38	13.000000	14.722432	4.500000	0.000000	4.000000	0.866025	3.000000	0.866025	2.500000	0.000000	3.000000	-0.866025	4.000000	-0.866025
3	#FF5C5C	#FF3838	#5CFF5C	#38FF38	13.000000	14.722432	6.000000	0.866025	5.500000	1.732051	4.500000	1.732051	4.000000	0.866025	4.500000	0.000000	5.500000	0.000000
4	#FF6868	#FF3838	#68FF68	#38FF38	13.000000	14.722432	7.500000	0.000000	7.000000	0.866025	6.000000	0.866025	5.500000	0.000000	6.000000	-0.866025	7.000000	-0.866025
5	#FF7474	#FF3838	#74FF74	#38FF38	13.000000	14.722432	9.000000	0.866025	8.500000	1.732051	7.500000	1.732051	7.000000	0.866025	7.500000	0.000000	8.500000	0.000000
6	#FF8080	#FF3838	#80FF80	#38FF38	13.000000	14.722432	10.500000	0.000000	10.000000	0.866025	9.000000	0.866025	8.500000	0.000000	9.000000	-0.866025	10.000000	-0.866025
7	#FF3838	#FF3838	#38FF38	#38FF38	13.000000	14.722432	12.000000	0.866025	11.500000	1.732051	10.500000	1.732051	10.000000	0.866025	10.500000	0.000000	11.500000	0.000000
8	#FF4444	#FF3838	#44FF44	#38FF38	13.000000	14.722432	13.500000	0.000000	13.000000	0.866025	12.000000	0.866025	11.500000	0.000000	12.000000	-0.866025	13.000000	-0.866025
9	#FF5050	#FF3838	#50FF50	#38FF38	13.000000	14.722432	15.000000	0.866025	14.500000	1.732051	13.500000	1.732051	13.000000	0.866025	13.500000	0.000000	14.500000	0.000000
10	#FF5C5C	#FF3838	#5CFF5C	#38FF38	13.000000	14.722432	1.500000	1.732051	1.000000	2.598076	0.000000	2.598076	-0.500000	1.732051	0.000000	0.866025	1.000000	0.866025
11	#FF6868	#FF3838	#68FF68	#38FF38	13.000000	14.722432	3.000000	2.598076	2.500000	3.464102	1.500000	3.464102	1.000000	2.598076	1.500000	1.732051	2.500000	1.732051
12	#FF7474	#FF3838	#74FF74	#38FF38	13.000000	14.722432	4.500000	1.732051	4.000000	2.598076	3.000000	2.598076	2.500000	1.732051	3.000000	0.866025	4.000000	0.866025
13	#FF8080	#FF3838	#80FF80	#38FF38	13.000000	14.722432	6.000000	2.598076	5.500000	3.464102	4.500000	3.464102	4.000000	2.598076	4.500000	1.732051	5.500000	1.732051
14	#FF3838	#FF3838	#38FF38	#38FF38	13.000000	14.722432	7.500000	1.732051	7.000000	2.598076	6.000000	2.598076	5.500000	1.732051	6.000000	0.866025	7.000000	0.866025
15	#FF4444	#FF3838	#44FF44	#38FF38	13.000000	14.722432	9.000000	2.598076	8.500000	3.464102	7.500000	3.464102	7.000000	2.598076	7.500000	1.732051	8.500000	1.732051
16	#FF5050	#FF3838	#50FF50	#38FF38	13.000000	14.722432	10.500000	1.732051	10.000000	2.598076	9.000000	2.598076	8.500000	1.732051	9.000000	0.866025	10.000000	0.866025
