seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12
0	#66ccff	#000000	#00000000	#00000000	Starting tile pattern based on a Tile(10, 1) tiling in a <a href="https://cs.uwaterloo.ca/~csk/hat/examples/animation.gif">looping animated GIF</a> by David Smith, Joseph Samuel Myers, Craig S. Kaplan, and Chaim Goodman-Strauss, used under <a href="http://creativecommons.org/licenses/by/4.0/">CC BY 4.0</a> / This is a recreation of the original rather than a screenshot, and the cropping, colors, and vertical orientation differ slightly from the original.	53.498549	54.701979	19.805169	19.650084	20.432694	17.843553	20.252041	17.780801	20.107369	17.905875	18.856631	16.459156	15.100102	17.178781	14.472576	18.985311	14.653229	19.048064	14.689210	19.235890	16.567475	18.876078	17.818214	20.322797	17.962885	20.197723	17.926904	20.009896
1	#A0A0A0	#000000	#00000000	#00000000		53.498549	54.701979	22.094325	17.233162	20.216060	17.592974	20.252041	17.780801	20.432695	17.843553	19.805169	19.650084	22.306646	22.543521	24.184910	22.183709	24.148929	21.995882	24.293601	21.870808	23.042862	20.424090	23.670388	18.617559	23.489735	18.554807	23.345063	18.679881
2	#ffffff	#000000	#00000000	#00000000		53.498549	54.701979	18.856631	16.459156	20.107370	17.905875	20.252041	17.780801	20.216060	17.592974	22.094325	17.233162	23.349376	13.620100	22.098637	12.173382	21.953965	12.298456	21.773312	12.235703	21.145787	14.042234	19.267522	14.402046	19.303503	14.589873	19.484157	14.652625
3	#ffffff	#000000	#00000000	#00000000		53.498549	54.701979	14.151564	13.987853	13.524038	15.794383	13.704691	15.857136	13.849363	15.732062	15.100102	17.178781	18.856631	16.459156	19.484156	14.652625	19.303503	14.589873	19.267522	14.402046	17.389258	14.761859	16.138519	13.315140	15.993847	13.440214	16.029828	13.628040
4	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	10.607357	20.017836	11.858096	21.464555	12.002768	21.339481	11.966787	21.151654	13.845051	20.791842	15.100102	17.178780	13.849363	15.732062	13.704691	15.857136	13.524038	15.794383	12.896513	17.600914	11.018248	17.960726	11.054230	18.148553	11.234883	18.211305
5	#006699	#000000	#00000000	#00000000		53.498549	54.701979	16.567475	18.876078	17.818214	20.322796	17.673542	20.447870	17.492889	20.385118	16.865363	22.191649	13.108835	22.911273	11.858096	21.464555	12.002768	21.339481	11.966787	21.151654	13.845051	20.791842	14.472577	18.985311	14.653230	19.048064	14.689211	19.235890
6	#A0A0A0	#000000	#00000000	#00000000		53.498549	54.701979	26.587069	14.394106	25.336331	12.947388	25.191659	13.072462	25.227640	13.260288	23.349376	13.620100	22.094324	17.233162	23.345063	18.679881	23.489735	18.554807	23.670388	18.617559	24.297914	16.811028	26.176178	16.451216	26.140197	16.263390	25.959544	16.200637
7	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	23.349376	13.620100	25.227640	13.260288	25.191659	13.072462	25.011006	13.009709	25.638531	11.203178	23.137054	8.309741	21.258790	8.669554	21.294771	8.857380	21.150099	8.982454	22.400838	10.429172	21.773312	12.235703	21.953965	12.298456	22.098637	12.173382
8	#006699	#000000	#00000000	#00000000		53.498549	54.701979	19.380526	9.029366	21.258790	8.669553	21.294771	8.857380	21.150099	8.982454	22.400838	10.429172	21.145786	14.042234	19.267522	14.402046	19.231541	14.214220	19.050888	14.151467	19.678414	12.344936	18.427675	10.898218	18.572347	10.773144	18.753000	10.835896
9	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	17.389257	14.761859	19.267521	14.402048	19.231540	14.214221	19.050887	14.151469	19.678413	12.344938	17.176937	9.451500	15.298673	9.811312	15.334654	9.999138	15.189982	10.124212	16.440720	11.570931	15.813194	13.377461	15.993847	13.440214	16.138519	13.315140
10	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	14.151564	13.987852	16.029828	13.628040	15.993847	13.440214	15.813194	13.377461	16.440720	11.570931	13.939243	8.677493	12.060979	9.037305	12.096960	9.225131	11.952288	9.350205	13.203026	10.796924	12.575500	12.603455	12.756153	12.666207	12.900825	12.541133
11	#A0A0A0	#000000	#00000000	#00000000		53.498549	54.701979	9.658818	16.826907	10.909556	18.273625	11.054228	18.148552	11.018247	17.960725	12.896511	17.600913	14.151563	13.987852	12.900825	12.541133	12.756153	12.666207	12.575500	12.603455	11.947974	14.409985	10.069709	14.769797	10.105691	14.957623	10.286344	15.020376
12	#ffffff	#000000	#00000000	#00000000		53.498549	54.701979	9.658818	16.826906	7.780554	17.186718	7.816535	17.374544	7.997188	17.437297	7.369662	19.243827	9.871138	22.137265	11.749402	21.777454	11.713421	21.589628	11.858093	21.464554	10.607355	20.017835	11.234881	18.211304	11.054228	18.148551	10.909556	18.273625
13	#ffffff	#000000	#00000000	#00000000		53.498549	54.701979	9.871138	22.137265	9.243611	23.943796	9.424265	24.006549	9.568936	23.881475	10.819674	25.328194	14.576203	24.608571	15.203730	22.802040	15.023077	22.739288	14.987095	22.551461	13.108831	22.911273	11.858093	21.464554	11.713421	21.589628	11.749402	21.777454
14	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	14.576203	24.608571	15.826941	26.055290	15.971613	25.930216	15.935632	25.742390	17.813896	25.382578	19.068949	21.769517	17.818211	20.322798	17.673539	20.447872	17.492886	20.385119	16.865360	22.191650	14.987096	22.551461	15.023077	22.739288	15.203730	22.802040
15	#A0A0A0	#000000	#00000000	#00000000		53.498549	54.701979	15.524741	27.799499	16.775479	29.246218	16.920151	29.121144	16.884170	28.933318	18.762434	28.573505	20.017486	24.960444	18.766747	23.513725	18.622075	23.638799	18.441422	23.576047	17.813896	25.382577	15.935632	25.742390	15.971613	25.930216	16.152266	25.992969
16	#A0A0A0	#000000	#00000000	#00000000		53.498549	54.701979	20.017485	24.960444	21.895749	24.600633	21.859768	24.412806	21.679115	24.350054	22.306641	22.543523	19.805165	19.650085	17.926901	20.009897	17.962882	20.197723	17.818210	20.322797	19.068948	21.769516	18.441422	23.576047	18.622075	23.638799	18.766747	23.513725
