seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12	px_13	py_13
0	#66ccff	#000000	#00000000	#00000000	Starting tile pattern based on a chevron tiling in a <a href="https://cs.uwaterloo.ca/~csk/hat/examples/animation.gif">looping animated GIF</a> by David Smith, Joseph Samuel Myers, Craig S. Kaplan, and Chaim Goodman-Strauss, used under <a href="http://creativecommons.org/licenses/by/4.0/">CC BY 4.0</a> / This is a recreation of the original rather than a screenshot, and the cropping, colors, and vertical orientation differ slightly from the original.	53.498550	54.701983	20.660702	20.906276	20.660702	20.906276	19.526793	18.274782	16.680897	17.941027	16.680897	17.941027	16.680897	17.941027	16.680897	17.941027	16.680897	17.941027	17.814806	20.572521	16.102819	22.870263	16.102819	22.870263	16.102819	22.870263	18.948715	23.204018	20.660702	20.906276
1	#A0A0A0	#000000	#00000000	#00000000		53.498550	54.701983	21.238780	15.977040	21.238780	15.977040	19.526793	18.274782	20.660702	20.906276	20.660702	20.906276	20.660702	20.906276	20.660702	20.906276	20.660702	20.906276	22.372690	18.608534	25.218586	18.942289	25.218586	18.942289	25.218586	18.942289	24.084676	16.310795	21.238780	15.977040
2	#ffffff	#000000	#00000000	#00000000		53.498550	54.701983	16.680897	17.941027	16.680897	17.941027	19.526793	18.274782	21.238780	15.977040	21.238780	15.977040	21.238780	15.977040	21.238780	15.977040	21.238780	15.977040	18.392884	15.643285	17.258976	13.011789	17.258976	13.011789	17.258976	13.011789	15.546988	15.309530	16.680897	17.941027
3	#ffffff	#000000	#00000000	#00000000		53.498550	54.701983	12.701092	14.975775	12.701092	14.975775	13.835001	17.607272	16.680897	17.941027	16.680897	17.941027	16.680897	17.941027	16.680897	17.941027	16.680897	17.941027	15.546988	15.309530	17.258976	13.011789	17.258976	13.011789	17.258976	13.011789	14.413080	12.678034	12.701092	14.975775
4	#66ccff	#000000	#00000000	#00000000		53.498550	54.701983	12.123013	19.905014	12.123013	19.905014	14.968909	20.238769	16.680897	17.941027	16.680897	17.941027	16.680897	17.941027	16.680897	17.941027	16.680897	17.941027	13.835001	17.607272	12.701092	14.975775	12.701092	14.975775	12.701092	14.975775	10.989105	17.273517	12.123013	19.905014
5	#006699	#000000	#00000000	#00000000		53.498550	54.701983	16.102819	22.870263	16.102819	22.870263	13.256923	22.536508	12.123013	19.905014	12.123013	19.905014	12.123013	19.905014	12.123013	19.905014	12.123013	19.905014	14.968909	20.238769	16.680897	17.941027	16.680897	17.941027	16.680897	17.941027	17.814806	20.572521	16.102819	22.870263
6	#A0A0A0	#000000	#00000000	#00000000		53.498550	54.701983	25.796664	14.013053	25.796664	14.013053	22.950768	13.679298	21.238780	15.977040	21.238780	15.977040	21.238780	15.977040	21.238780	15.977040	21.238780	15.977040	24.084676	16.310795	25.218585	18.942292	25.218585	18.942292	25.218585	18.942292	26.930572	16.644550	25.796664	14.013053
7	#66ccff	#000000	#00000000	#00000000		53.498550	54.701983	21.238780	15.977040	21.238780	15.977040	22.950768	13.679298	21.816858	11.047804	21.816858	11.047804	21.816858	11.047804	21.816858	11.047804	21.816858	11.047804	20.104871	13.345546	17.258975	13.011791	17.258975	13.011791	17.258975	13.011791	18.392884	15.643285	21.238780	15.977040
8	#006699	#000000	#00000000	#00000000		53.498550	54.701983	21.816858	11.047804	21.816858	11.047804	20.104871	13.345546	17.258975	13.011791	17.258975	13.011791	17.258975	13.011791	17.258975	13.011791	17.258975	13.011791	18.970962	10.714049	17.837054	8.082553	17.837054	8.082553	17.837054	8.082553	20.682950	8.416308	21.816858	11.047804
9	#66ccff	#000000	#00000000	#00000000		53.498550	54.701983	17.258976	13.011789	17.258976	13.011789	18.970963	10.714047	17.837055	8.082550	17.837055	8.082550	17.837055	8.082550	17.837055	8.082550	17.837055	8.082550	16.125067	10.380292	13.279171	10.046537	13.279171	10.046537	13.279171	10.046537	14.413080	12.678034	17.258976	13.011789
