seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12	px_13	py_13
0	#66ccff	#000000	#00000000	#00000000	Starting tile pattern based on a 'comet' tiling in a <a href="https://cs.uwaterloo.ca/~csk/hat/examples/animation.gif">looping animated GIF</a> by David Smith, Joseph Samuel Myers, Craig S. Kaplan, and Chaim Goodman-Strauss, used under <a href="http://creativecommons.org/licenses/by/4.0/">CC BY 4.0</a> / This is a recreation of the original rather than a screenshot, and the cropping, colors, and vertical orientation differ slightly from the original.	53.498550	54.701983	19.699532	19.640392	20.257653	17.719846	20.257653	17.719846	20.257653	17.719846	18.873473	16.276225	16.931170	16.753150	14.988867	17.230075	14.430747	19.150621	14.430747	19.150621	14.430747	19.150621	16.373049	18.673696	17.757230	20.117317	17.757230	20.117317	17.757230	20.117317
1	#A0A0A0	#000000	#00000000	#00000000		53.498550	54.701983	22.199956	17.242920	20.257653	17.719846	20.257653	17.719846	20.257653	17.719846	19.699532	19.640392	21.083714	21.084012	22.467896	22.527632	24.410199	22.050707	24.410199	22.050707	24.410199	22.050707	23.026017	20.607087	23.584138	18.686541	23.584138	18.686541	23.584138	18.686541
2	#ffffff	#000000	#00000000	#00000000		53.498550	54.701983	18.873473	16.276225	20.257653	17.719846	20.257653	17.719846	20.257653	17.719846	22.199956	17.242920	22.758077	15.322375	23.316198	13.401829	21.932017	11.958208	21.932017	11.958208	21.932017	11.958208	21.373897	13.878753	19.431594	14.355679	19.431594	14.355679	19.431594	14.355679
3	#ffffff	#000000	#00000000	#00000000		53.498550	54.701983	14.162808	13.865908	13.604687	15.786454	13.604687	15.786454	13.604687	15.786454	14.988867	17.230075	16.931170	16.753150	18.873473	16.276225	19.431594	14.355679	19.431594	14.355679	19.431594	14.355679	17.489291	14.832604	16.105111	13.388983	16.105111	13.388983	16.105111	13.388983
4	#66ccff	#000000	#00000000	#00000000		53.498550	54.701983	10.546139	20.104473	11.930319	21.548094	11.930319	21.548094	11.930319	21.548094	13.872622	21.071169	14.430745	19.150622	14.988867	17.230075	13.604687	15.786454	13.604687	15.786454	13.604687	15.786454	13.046565	17.707001	11.104262	18.183926	11.104262	18.183926	11.104262	18.183926
5	#006699	#000000	#00000000	#00000000		53.498550	54.701983	16.373046	18.673698	17.757226	20.117319	17.757226	20.117319	17.757226	20.117319	17.199105	22.037865	15.256802	22.514790	13.314500	22.991715	11.930319	21.548094	11.930319	21.548094	11.930319	21.548094	13.872622	21.071169	14.430743	19.150623	14.430743	19.150623	14.430743	19.150623
6	#A0A0A0	#000000	#00000000	#00000000		53.498550	54.701983	26.642682	14.368522	25.258500	12.924902	25.258500	12.924902	25.258500	12.924902	23.316198	13.401829	22.758077	15.322375	22.199956	17.242920	23.584138	18.686541	23.584138	18.686541	23.584138	18.686541	24.142259	16.765995	26.084561	16.289068	26.084561	16.289068	26.084561	16.289068
7	#66ccff	#000000	#00000000	#00000000		53.498550	54.701983	23.316198	13.401829	25.258500	12.924902	25.258500	12.924902	25.258500	12.924902	25.816620	11.004356	24.432438	9.560736	23.048256	8.117115	21.105955	8.594043	21.105955	8.594043	21.105955	8.594043	22.490137	10.037663	21.932016	11.958209	21.932016	11.958209	21.932016	11.958209
8	#006699	#000000	#00000000	#00000000		53.498550	54.701983	19.163653	9.070970	21.105955	8.594043	21.105955	8.594043	21.105955	8.594043	22.490137	10.037663	21.932016	11.958209	21.373895	13.878754	19.431593	14.355682	19.431593	14.355682	19.431593	14.355682	19.989714	12.435136	18.605532	10.991515	18.605532	10.991515	18.605532	10.991515
9	#66ccff	#000000	#00000000	#00000000		53.498550	54.701983	17.489291	14.832604	19.431594	14.355679	19.431594	14.355679	19.431594	14.355679	19.989716	12.435132	18.605536	10.991511	17.221356	9.547890	15.279053	10.024815	15.279053	10.024815	15.279053	10.024815	16.663233	11.468436	16.105111	13.388983	16.105111	13.388983	16.105111	13.388983
