seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12
0	#006699	#000000	#00000000	#00000000	Starting tile pattern based on <a href="https://cs.uwaterloo.ca/~csk/hat/examples/patch647.png">patch647.png</a> by David Smith, Joseph Samuel Myers, Craig S. Kaplan, and Chaim Goodman-Strauss, used under <a href="http://creativecommons.org/licenses/by/4.0/">CC BY 4.0</a> / The colors have been changed to be simlar to <a href="https://cs.uwaterloo.ca/~csk/hat/">other examples</a> by the authors. The cropping may also differ slightly or substantially (depending on the window size).	115.499999	72.746135	55.000003	37.239097	55.500003	36.373072	54.000003	35.507047	52.500003	36.373072	52.000003	35.507047	50.000003	35.507047	49.500003	36.373072	51.000003	37.239097	51.000003	38.971148	52.000003	38.971148	52.500003	39.837173	54.000003	38.971148	54.000003	37.239097
1	#66ccff	#000000	#00000000	#00000000		115.499999	72.746135	52.000003	32.042944	52.500003	31.176919	54.000003	32.042945	54.000003	33.774996	55.000003	33.774996	56.000003	35.507047	55.500003	36.373072	54.000003	35.507046	52.500003	36.373072	52.000003	35.507046	51.000003	35.507046	51.000003	33.774995	52.500003	32.908970
2	#66ccff	#000000	#00000000	#00000000		115.499999	72.746135	58.000003	38.971148	58.500003	39.837173	57.000003	40.703198	55.500003	39.837173	55.000003	40.703198	53.000003	40.703198	52.500003	39.837173	54.000003	38.971148	54.000003	37.239097	55.000003	37.239097	55.500003	36.373072	57.000003	37.239097	57.000003	38.971148
3	#66ccff	#000000	#00000000	#00000000		115.499999	72.746135	49.000003	37.239098	49.500003	36.373073	51.000003	37.239098	51.000003	38.971148	52.000003	38.971148	53.000003	40.703199	52.500003	41.569224	51.000003	40.703199	49.500003	41.569224	49.000003	40.703199	48.000003	40.703199	48.000003	38.971148	49.500003	38.105123
4	#ffffff	#000000	#00000000	#00000000		115.499999	72.746135	46.000003	38.971147	45.000003	38.971147	45.000003	37.239096	46.500003	36.373071	46.000003	35.507045	47.000003	33.774994	48.000003	33.774994	48.000003	35.507045	49.500003	36.373071	49.000003	37.239096	49.500003	38.105122	48.000003	38.971148	46.500003	38.105122
5	#ffffff	#000000	#00000000	#00000000		115.499999	72.746135	47.000003	33.774994	46.500003	32.908969	48.000003	32.042944	49.500003	32.908969	50.000003	32.042944	52.000003	32.042944	52.500003	32.908969	51.000003	33.774994	51.000003	35.507045	50.000003	35.507045	49.500003	36.373070	48.000003	35.507045	48.000003	33.774994
6	#66ccff	#000000	#00000000	#00000000		115.499999	72.746135	41.000003	37.239096	40.500003	36.373071	42.000003	35.507046	43.500003	36.373071	44.000003	35.507046	46.000003	35.507046	46.500003	36.373071	45.000003	37.239096	45.000003	38.971147	44.000003	38.971147	43.500003	39.837172	42.000003	38.971147	42.000003	37.239096
7	#66ccff	#000000	#00000000	#00000000		115.499999	72.746135	47.000003	30.310894	48.000003	30.310894	48.000003	32.042945	46.500003	32.908970	47.000003	33.774995	46.000003	35.507045	45.000003	35.507045	45.000003	33.774994	43.500003	32.908969	44.000003	32.042944	43.500003	31.176919	45.000003	30.310894	46.500003	31.176919
8	#006699	#000000	#00000000	#00000000		115.499999	72.746135	44.000003	32.042943	43.500003	31.176918	42.000003	32.042944	42.000003	33.774995	41.000003	33.774995	40.000003	35.507046	40.500003	36.373071	42.000003	35.507045	43.500003	36.373071	44.000003	35.507045	45.000003	35.507045	45.000003	33.774994	43.500003	32.908969
9	#66ccff	#000000	#00000000	#00000000		115.499999	72.746135	38.000003	32.042944	37.500003	31.176919	39.000003	30.310894	40.500003	31.176919	41.000003	30.310894	43.000003	30.310894	43.500003	31.176919	42.000003	32.042944	42.000003	33.774995	41.000003	33.774995	40.500003	34.641020	39.000003	33.774995	39.000003	32.042944
10	#ffffff	#000000	#00000000	#00000000		115.499999	72.746135	38.000003	28.578843	37.500003	27.712818	39.000003	26.846792	40.500003	27.712817	41.000003	26.846791	43.000003	26.846791	43.500003	27.712816	42.000003	28.578842	42.000003	30.310893	41.000003	30.310893	40.500003	31.176919	39.000003	30.310894	39.000003	28.578843
11	#ffffff	#000000	#00000000	#00000000		115.499999	72.746135	43.000003	26.846792	43.500003	25.980767	45.000003	26.846792	45.000003	28.578843	46.000003	28.578843	47.000003	30.310894	46.500003	31.176919	45.000003	30.310894	43.500003	31.176919	43.000003	30.310894	42.000003	30.310894	42.000003	28.578842	43.500003	27.712817
12	#66ccff	#000000	#00000000	#00000000		115.499999	72.746135	37.000002	23.382691	37.500002	22.516665	39.000002	23.382690	39.000003	25.114741	40.000003	25.114741	41.000004	26.846792	40.500004	27.712818	39.000004	26.846793	37.500003	27.712818	37.000003	26.846793	36.000003	26.846793	36.000002	25.114742	37.500002	24.248716
13	#66ccff	#000000	#00000000	#00000000		115.499999	72.746135	46.000003	25.114741	46.500003	25.980766	45.000003	26.846792	43.500003	25.980767	43.000003	26.846793	41.000003	26.846793	40.500003	25.980768	42.000003	25.114742	42.000003	23.382691	43.000003	23.382691	43.500003	22.516665	45.000003	23.382690	45.000003	25.114741
14	#006699	#000000	#00000000	#00000000		115.499999	72.746135	43.000002	23.382690	43.500002	22.516665	42.000002	21.650640	40.500002	22.516665	40.000002	21.650640	38.000002	21.650640	37.500002	22.516665	39.000002	23.382690	39.000002	25.114741	40.000002	25.114741	40.500002	25.980766	42.000002	25.114741	42.000002	23.382690
15	#66ccff	#000000	#00000000	#00000000		115.499999	72.746135	40.000002	18.186537	40.500002	17.320512	42.000002	18.186538	42.000002	19.918589	43.000002	19.918589	44.000002	21.650640	43.500002	22.516665	42.000002	21.650639	40.500002	22.516665	40.000002	21.650639	39.000002	21.650639	39.000002	19.918588	40.500002	19.052563
