seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12	px_13	py_13
0	#66ccff	#000000	#00000000	#00000000	Starting tile pattern based on the hat tiling in a <a href="https://cs.uwaterloo.ca/~csk/hat/examples/animation.gif">looping animated GIF</a> by David Smith, Joseph Samuel Myers, Craig S. Kaplan, and Chaim Goodman-Strauss, used under <a href="http://creativecommons.org/licenses/by/4.0/">CC BY 4.0</a> / This is a recreation of the original rather than a screenshot, and the cropping, colors, and vertical orientation differ slightly from the original.	65.318848	62.678976	25.570088	23.292948	26.264746	22.573608	25.018813	21.370424	23.353859	21.847842	23.078222	20.886580	22.107926	20.644658	21.137630	20.402736	20.442972	21.122076	21.688905	22.325260	21.269884	24.005861	22.240180	24.247783	22.515817	25.209045	24.180771	24.731627	24.599792	23.051026
1	#A0A0A0	#000000	#00000000	#00000000		65.318848	62.678976	26.408128	19.931745	25.437832	19.689823	25.018812	21.370425	26.264746	22.573608	25.570088	23.292948	25.845726	24.254210	26.121364	25.215472	27.091660	25.457394	27.510680	23.776792	29.175634	23.299373	28.899996	22.338111	29.594654	21.618771	28.348720	20.415588	26.683766	20.893007
2	#ffffff	#000000	#00000000	#00000000		65.318848	62.678976	23.078220	20.886580	23.353857	21.847842	25.018811	21.370424	25.437832	19.689823	26.408128	19.931745	27.102786	19.212405	27.797444	18.493065	27.521807	17.531803	25.856853	18.009221	24.610920	16.806037	23.916262	17.525377	22.945966	17.283455	22.526945	18.964056	23.772878	20.167240
3	#ffffff	#000000	#00000000	#00000000		65.318848	62.678976	18.645764	17.996368	17.951106	18.715708	19.197039	19.918892	20.861993	19.441474	21.137630	20.402736	22.107926	20.644658	23.078222	20.886580	23.772880	20.167240	22.526947	18.964056	22.945968	17.283455	21.975672	17.041533	21.700035	16.080271	20.035081	16.557689	19.616060	18.238290
4	#66ccff	#000000	#00000000	#00000000		65.318848	62.678976	16.418403	22.796250	16.694040	23.757512	18.358994	23.280095	18.778016	21.599494	19.748312	21.841416	20.442971	21.122076	21.137630	20.402736	20.861993	19.441474	19.197039	19.918891	17.951106	18.715707	17.256447	19.435047	16.286151	19.193125	15.867129	20.873726	17.113062	22.076910
5	#006699	#000000	#00000000	#00000000		65.318848	62.678976	22.240178	24.247783	22.515815	25.209045	20.850861	25.686463	19.604928	24.483279	18.910270	25.202619	17.939974	24.960697	16.969678	24.718775	16.694041	23.757513	18.358995	23.280095	18.778016	21.599494	19.748312	21.841416	20.442970	21.122076	21.688903	22.325260	21.269882	24.005861
6	#A0A0A0	#000000	#00000000	#00000000		65.318848	62.678976	31.127352	17.538227	30.851714	16.576965	29.186760	17.054384	28.767740	18.734986	27.797444	18.493065	27.102786	19.212405	26.408128	19.931745	26.683766	20.893007	28.348720	20.415588	29.594654	21.618771	30.289312	20.899431	31.259608	21.141352	31.678628	19.460750	30.432694	18.257567
7	#66ccff	#000000	#00000000	#00000000		65.318848	62.678976	27.797444	18.493065	28.767740	18.734986	29.186760	17.054384	27.940826	15.851201	28.635484	15.131861	28.359846	14.170599	28.084208	13.209337	27.113912	12.967416	26.694892	14.648018	25.029938	15.125437	25.305576	16.086699	24.610918	16.806039	25.856852	18.009222	27.521806	17.531803
8	#006699	#000000	#00000000	#00000000		65.318848	62.678976	26.143616	12.725495	27.113912	12.967416	26.694892	14.648018	25.029938	15.125437	25.305576	16.086699	24.610918	16.806039	23.916260	17.525379	22.945964	17.283458	23.364984	15.602856	22.119050	14.399673	22.813708	13.680333	22.538070	12.719071	24.203024	12.241652	25.448958	13.444835
9	#66ccff	#000000	#00000000	#00000000		65.318848	62.678976	21.975672	17.041533	22.945968	17.283455	23.364989	15.602853	22.119056	14.399669	22.813714	13.680329	22.538077	12.719067	22.262440	11.757805	21.292144	11.515883	20.873123	13.196485	19.208169	13.673903	19.483806	14.635165	18.789148	15.354505	20.035081	16.557689	21.700035	16.080271
