seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12
0	#66ccff	#000000	#00000000	#00000000	Starting tile pattern based on a Tile(1, 10) tiling in a <a href="https://cs.uwaterloo.ca/~csk/hat/examples/animation.gif">looping animated GIF</a> by David Smith, Joseph Samuel Myers, Craig S. Kaplan, and Chaim Goodman-Strauss, used under <a href="http://creativecommons.org/licenses/by/4.0/">CC BY 4.0</a> / This is a recreation of the original rather than a screenshot, and the cropping, colors, and vertical orientation differ slightly from the original.	53.498549	54.701979	20.687783	20.700416	20.916079	20.573373	19.645656	18.290408	17.033339	18.249143	17.037465	17.987911	16.589125	17.719532	16.360829	17.846575	17.631251	20.129541	16.289356	22.371242	16.513527	22.505431	16.509400	22.766663	19.121718	22.807928	20.463613	20.566226
1	#A0A0A0	#000000	#00000000	#00000000		53.498549	54.701979	21.211720	16.182895	20.987549	16.048706	19.645655	18.290408	20.916079	20.573373	20.687783	20.700416	20.679530	21.222879	20.903700	21.357069	22.245594	19.115367	24.857912	19.156630	24.862038	18.895399	25.090335	18.768356	23.819911	16.485391	21.207593	16.444127
2	#ffffff	#000000	#00000000	#00000000		53.498549	54.701979	17.037463	17.987911	17.033337	18.249143	19.645655	18.290407	20.987550	16.048706	21.211720	16.182895	21.668313	15.928811	21.672439	15.667579	19.060122	15.626314	17.789699	13.343348	17.561402	13.470391	17.337232	13.336201	15.995337	15.577903	17.265760	17.860868
3	#ffffff	#000000	#00000000	#00000000		53.498549	54.701979	12.938808	15.007027	12.710511	15.134070	13.980934	17.417036	16.593251	17.458300	16.589125	17.719532	17.037465	17.987911	17.265762	17.860869	15.995339	15.577903	17.337234	13.336202	17.113064	13.202012	17.117191	12.940780	14.504873	12.899515	13.162978	15.141217
4	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	11.958274	19.778631	11.954147	20.039862	14.566465	20.081128	15.908361	17.839427	16.132531	17.973617	16.589124	17.719532	16.593251	17.458300	13.980934	17.417035	12.710512	15.134068	12.482215	15.261111	12.258045	15.126921	10.916149	17.368622	12.186571	19.651588
5	#006699	#000000	#00000000	#00000000		53.498549	54.701979	16.513526	22.505431	16.509399	22.766663	13.897082	22.725399	12.626659	20.442433	12.398362	20.569475	11.950022	20.301096	11.954149	20.039864	14.566466	20.081129	15.908361	17.839427	16.132531	17.973617	16.360828	17.846574	17.631251	20.129540	16.289356	22.371242
6	#A0A0A0	#000000	#00000000	#00000000		53.498549	54.701979	25.842568	14.123793	25.846694	13.862561	23.234377	13.821298	21.892483	16.063000	21.668313	15.928811	21.211720	16.182895	21.207593	16.444127	23.819911	16.485390	25.090335	18.768355	25.318632	18.641313	25.542802	18.775502	26.884696	16.533800	25.614272	14.250835
7	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	21.668313	15.928811	21.892483	16.063000	23.234377	13.821298	21.963953	11.538333	22.192249	11.411290	22.200502	10.888827	21.976331	10.754637	20.634437	12.996340	18.022119	12.955077	18.017993	13.216308	17.789697	13.343351	19.060121	15.626316	21.672439	15.667579
8	#006699	#000000	#00000000	#00000000		53.498549	54.701979	21.752161	10.620448	21.976331	10.754637	20.634437	12.996339	18.022119	12.955077	18.017993	13.216308	17.561400	13.470393	17.337230	13.336204	18.679124	11.094502	17.408700	8.811536	17.636996	8.684494	17.641122	8.423262	20.253440	8.464525	21.523864	10.747490
9	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	17.113064	13.202012	17.337234	13.336202	18.679130	11.094500	17.408707	8.811534	17.637004	8.684492	17.645257	8.162029	17.421086	8.027839	16.079191	10.269540	13.466873	10.228275	13.462747	10.489507	13.234450	10.616550	14.504873	12.899516	17.117191	12.940780
10	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	12.938807	15.007028	13.162977	15.141217	14.504873	12.899516	13.234450	10.616550	13.462747	10.489507	13.471000	9.967044	13.246830	9.832854	11.904934	12.074556	9.292617	12.033291	9.288490	12.294523	9.060193	12.421565	10.330616	14.704531	12.942934	14.745796
