seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12	px_13	py_13
0	#66ccff	#000000	#00000000	#00000000	Starting tile pattern based on a Tile(1, 4) tiling in a <a href="https://cs.uwaterloo.ca/~csk/hat/examples/animation.gif">looping animated GIF</a> by David Smith, Joseph Samuel Myers, Craig S. Kaplan, and Chaim Goodman-Strauss, used under <a href="http://creativecommons.org/licenses/by/4.0/">CC BY 4.0</a> / This is a recreation of the original rather than a screenshot, and the cropping, colors, and vertical orientation differ slightly from the original.	53.498550	54.701983	20.665392	20.453982	21.125892	20.119492	19.787933	18.277491	17.523733	18.515197	17.464307	17.949147	16.944380	17.717587	16.424453	17.486027	15.963953	17.820517	17.301912	19.662518	16.375672	21.742225	16.895599	21.973785	16.955025	22.539835	19.219225	22.302129	20.145465	20.222422
1	#A0A0A0	#000000	#00000000	#00000000		53.498550	54.701983	21.234098	16.429344	20.714171	16.197784	19.787932	18.277491	21.125892	20.119492	20.665392	20.453982	20.724819	21.020032	20.784246	21.586082	21.304173	21.817642	22.230412	19.737935	24.494611	19.500227	24.435184	18.934177	24.895684	18.599687	23.557724	16.757687	21.293525	16.995394
2	#ffffff	#000000	#00000000	#00000000		53.498550	54.701983	17.464305	17.949147	17.523731	18.515197	19.787931	18.277491	20.714171	16.197784	21.234098	16.429344	21.694598	16.094854	22.155098	15.760364	22.095672	15.194314	19.831473	15.432020	18.493513	13.590019	18.033013	13.924509	17.513086	13.692949	16.586846	15.772656	17.924805	17.614657
3	#ffffff	#000000	#00000000	#00000000		53.498550	54.701983	13.223368	14.981191	12.762868	15.315681	14.100827	17.157683	16.365027	16.919977	16.424453	17.486027	16.944380	17.717587	17.464307	17.949147	17.924807	17.614657	16.586848	15.772656	17.513088	13.692948	16.993161	13.461388	16.933735	12.895338	14.669535	13.133044	13.743295	15.212752
4	#66ccff	#000000	#00000000	#00000000		53.498550	54.701983	11.733658	19.674808	11.793085	20.240858	14.057284	20.003153	14.983525	17.923446	15.503452	18.155007	15.963952	17.820517	16.424453	17.486027	16.365027	16.919977	14.100827	17.157682	12.762869	15.315680	12.302368	15.650170	11.782441	15.418610	10.856201	17.498317	12.194159	19.340319
5	#006699	#000000	#00000000	#00000000		53.498550	54.701983	16.895598	21.973785	16.955024	22.539835	14.690824	22.777541	13.352865	20.935540	12.892365	21.270030	12.372438	21.038470	11.852511	20.806910	11.793085	20.240860	14.057284	20.003154	14.983525	17.923446	15.503452	18.155007	15.963952	17.820517	17.301911	19.662518	16.375671	21.742225
6	#A0A0A0	#000000	#00000000	#00000000		53.498550	54.701983	25.924891	14.240559	25.865464	13.674509	23.601265	13.912216	22.675025	15.991924	22.155098	15.760364	21.694598	16.094854	21.234098	16.429344	21.293525	16.995394	23.557724	16.757687	24.895685	18.599687	25.356185	18.265197	25.876112	18.496757	26.802351	16.417050	25.464390	14.575049
7	#66ccff	#000000	#00000000	#00000000		53.498550	54.701983	22.155098	15.760364	22.675025	15.991924	23.601265	13.912216	22.263305	12.070216	22.723805	11.735726	22.664378	11.169676	22.604951	10.603626	22.085024	10.372066	21.158785	12.451773	18.894586	12.689480	18.954013	13.255530	18.493513	13.590020	19.831472	15.432021	22.095672	15.194314
8	#006699	#000000	#00000000	#00000000		53.498550	54.701983	21.565097	10.140506	22.085024	10.372066	21.158785	12.451773	18.894586	12.689480	18.954013	13.255530	18.493513	13.590020	18.033012	13.924510	17.513085	13.692951	18.439325	11.613243	17.101364	9.771243	17.561864	9.436753	17.502437	8.870703	19.766636	8.632996	21.104597	10.474996
9	#66ccff	#000000	#00000000	#00000000		53.498550	54.701983	16.993161	13.461388	17.513088	13.692948	18.439328	11.613241	17.101369	9.771240	17.561869	9.436750	17.502443	8.870700	17.443017	8.304650	16.923090	8.073090	15.996850	10.152797	13.732650	10.390503	13.792076	10.956553	13.331576	11.291043	14.669535	13.133044	16.933735	12.895338
