seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12	px_13	py_13
0	#66ccff	#000000	#00000000	#00000000	Starting tile pattern based on a 'turtle' tiling in a <a href="https://cs.uwaterloo.ca/~csk/hat/examples/animation.gif">looping animated GIF</a> by David Smith, Joseph Samuel Myers, Craig S. Kaplan, and Chaim Goodman-Strauss, used under <a href="http://creativecommons.org/licenses/by/4.0/">CC BY 4.0</a> / This is a recreation of the original rather than a screenshot, and the cropping, colors, and vertical orientation differ slightly from the original.	53.498550	54.701983	20.174740	19.778497	20.949740	18.441662	20.177918	17.994216	19.404507	18.438910	18.634274	17.099324	17.089042	17.096572	15.543810	17.093820	14.768810	18.430655	15.540632	18.878100	15.539043	19.770241	17.084275	19.772993	17.854508	21.112579	18.627919	20.667885	18.629508	19.775745
1	#A0A0A0	#000000	#00000000	#00000000		53.498550	54.701983	21.724739	17.104827	20.179507	17.102075	20.177918	17.994215	20.949740	18.441662	20.174740	19.778497	20.944973	21.118083	21.715206	22.457669	23.260438	22.460421	23.262027	21.568281	24.035438	21.123587	23.265205	19.784000	24.040205	18.447166	23.268383	17.999719	22.494972	18.444413
2	#ffffff	#000000	#00000000	#00000000		53.498550	54.701983	18.634274	17.099323	19.404507	18.438909	20.177918	17.994215	20.179507	17.102075	21.724739	17.104827	22.499738	15.767992	23.274738	14.431158	22.504505	13.091571	21.731094	13.536265	20.959272	13.088820	20.184272	14.425654	18.639040	14.422902	18.637452	15.315043	19.409273	15.762489
3	#ffffff	#000000	#00000000	#00000000		53.498550	54.701983	14.003344	14.414647	13.228344	15.751482	14.000166	16.198928	14.773577	15.754234	15.543810	17.093820	17.089042	17.096572	18.634274	17.099324	19.409274	15.762489	18.637452	15.315044	18.639041	14.422903	17.093809	14.420151	16.323576	13.080565	15.550165	13.525259	15.548576	14.417399
4	#66ccff	#000000	#00000000	#00000000		53.498550	54.701983	10.903345	19.761986	11.673578	21.101572	12.446989	20.656878	12.448578	19.764738	13.993811	19.767489	14.768810	18.430655	15.543810	17.093820	14.773577	15.754234	14.000166	16.198928	13.228344	15.751482	12.453344	17.088317	10.908112	17.085565	10.906523	17.977706	11.678345	18.425151
5	#006699	#000000	#00000000	#00000000		53.498550	54.701983	17.084275	19.772993	17.854508	21.112579	17.081098	21.557273	16.309276	21.109828	15.534277	22.446662	13.989044	22.443910	12.443811	22.441159	11.673578	21.101572	12.446989	20.656878	12.448578	19.764738	13.993811	19.767489	14.768809	18.430655	15.540631	18.878101	15.539043	19.770241
6	#A0A0A0	#000000	#00000000	#00000000		53.498550	54.701983	26.365204	14.436661	25.594971	13.097075	24.821560	13.541769	24.819971	14.433909	23.274738	14.431158	22.499738	15.767992	21.724739	17.104827	22.494972	18.444413	23.268383	17.999719	24.040204	18.447165	24.815204	17.110330	26.360437	17.113082	26.362026	16.220941	25.590204	15.773496
7	#66ccff	#000000	#00000000	#00000000		53.498550	54.701983	23.274739	14.431157	24.819971	14.433909	24.821560	13.541769	24.049738	13.094323	24.824737	11.757488	24.054504	10.417902	23.284271	9.078316	21.739039	9.075564	21.737451	9.967704	20.964040	10.412398	21.734273	11.751985	20.959273	13.088819	21.731095	13.536265	22.504506	13.091571
8	#006699	#000000	#00000000	#00000000		53.498550	54.701983	20.193807	9.072812	21.739039	9.075564	21.737451	9.967704	20.964040	10.412398	21.734273	11.751985	20.959273	13.088819	20.184273	14.425654	18.639040	14.422902	18.640629	13.530762	17.868807	13.083316	18.643807	11.746481	17.873574	10.406895	18.646985	9.962201	19.418807	10.409647
9	#66ccff	#000000	#00000000	#00000000		53.498550	54.701983	17.093808	14.420151	18.639040	14.422904	18.640629	13.530764	17.868807	13.083317	18.643806	11.746482	17.873574	10.406896	17.103342	9.067309	15.558110	9.064556	15.556521	9.956697	14.783110	10.401391	15.553342	11.740978	14.778343	13.077812	15.550165	13.525259	16.323576	13.080565
10	#66ccff	#000000	#00000000	#00000000		53.498550	54.701983	14.003344	14.414647	15.548576	14.417399	15.550165	13.525259	14.778343	13.077812	15.553342	11.740978	14.783110	10.401391	14.012878	9.061805	12.467646	9.059052	12.466057	9.951192	11.692646	10.395886	12.462878	11.735473	11.687878	13.072307	12.459700	13.519754	13.233111	13.075060
11	#A0A0A0	#000000	#00000000	#00000000		53.498550	54.701983	9.362880	17.082809	10.133112	18.422396	10.906523	17.977702	10.908112	17.085561	12.453344	17.088314	13.228344	15.751480	14.003344	14.414647	13.233111	13.075060	12.459700	13.519754	11.687879	13.072307	10.912879	14.409141	9.367647	14.406388	9.366058	15.298529	10.137880	15.745976
12	#ffffff	#000000	#00000000	#00000000		53.498550	54.701983	9.362880	17.082809	7.817647	17.080057	7.816059	17.972197	8.587881	18.419644	7.812881	19.756478	8.583113	21.096065	9.353345	22.435651	10.898578	22.438404	10.900166	21.546264	11.673577	21.101570	10.903345	19.761983	11.678345	18.425148	10.906523	17.977702	10.133112	18.422396
13	#ffffff	#000000	#00000000	#00000000		53.498550	54.701983	9.353345	22.435651	8.578346	23.772485	9.350167	24.219932	10.123578	23.775238	10.893810	25.114824	12.439042	25.117577	13.984274	25.120330	14.759274	23.783496	13.987453	23.336050	13.989042	22.443909	12.443810	22.441156	11.673577	21.101570	10.900166	21.546264	10.898578	22.438404
