seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	curve_spectre_edges	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12	px_13	py_13
0	#d0d0d0	#000000	#00000000	#00000000	Starting tile pattern based on an aperiodic Tile(1,1) tiling in <a href="https://cs.uwaterloo.ca/~csk/spectre/examples/patch.png">patch.png</a> by David Smith, Joseph Samuel Myers, Craig S. Kaplan, and Chaim Goodman-Strauss, used under <a href="http://creativecommons.org/licenses/by/4.0/">CC BY 4.0</a> / The cropping and colors differ from the original. Polygon edges have been replaced with alternating inward and outward curves to create a tile that only admits monochiral tilings.	True	48.016656	43.748711	17.526278	22.856408	17.026278	23.722433	17.892303	24.222433	18.758328	23.722433	19.258328	24.588458	20.258328	24.588458	21.258328	24.588458	21.758328	23.722433	20.892303	23.222433	20.892303	22.222433	19.892303	22.222433	19.392303	21.356408	18.526278	21.856408	18.526278	22.856408
1	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	21.258328	24.588458	21.758328	25.454483	22.624353	24.954483	22.624353	23.954483	23.624353	23.954483	24.124353	23.088458	24.624353	22.222433	24.124353	21.356408	23.258328	21.856408	22.392303	21.356408	21.892303	22.222433	20.892303	22.222433	20.892303	23.222433	21.758328	23.722433
2	#8080ff	#000000	#00000000	#00000000			48.016656	43.748711	20.892303	21.222433	20.892303	22.222433	21.892303	22.222433	22.392303	21.356408	23.258328	21.856408	24.124354	21.356408	24.990380	20.856408	24.990380	19.856408	23.990380	19.856408	23.490380	18.990382	22.624354	19.490382	21.758329	18.990382	21.258329	19.856407	21.758329	20.722433
3	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	19.526278	18.124356	18.526278	18.124356	18.526278	19.124356	19.392303	19.624356	18.892303	20.490381	19.392303	21.356407	19.892303	22.222433	20.892303	22.222433	20.892303	21.222433	21.758329	20.722433	21.258329	19.856407	21.758329	18.990382	20.892304	18.490382	20.026278	18.990382
4	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	22.892304	15.758332	22.392304	14.892306	21.526278	15.392306	21.526278	16.392306	20.526278	16.392306	20.026278	17.258331	19.526278	18.124356	20.026278	18.990382	20.892304	18.490382	21.758329	18.990382	22.258329	18.124357	23.258329	18.124357	23.258329	17.124357	22.392304	16.624357
5	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	22.258329	18.124357	21.758329	18.990382	22.624354	19.490382	23.490380	18.990382	23.990380	19.856408	24.990380	19.856408	25.990380	19.856408	26.490380	18.990383	25.624355	18.490383	25.624355	17.490383	24.624355	17.490383	24.124355	16.624357	23.258329	17.124357	23.258329	18.124357
6	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	26.356405	23.954483	27.356405	23.954483	27.356405	22.954483	26.490380	22.454483	26.990380	21.588458	26.490380	20.722433	25.990380	19.856408	24.990380	19.856408	24.990380	20.856408	24.124355	21.356408	24.624355	22.222433	24.124355	23.088458	24.990380	23.588458	25.856405	23.088458
7	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	22.990380	26.320510	23.490380	27.186535	24.356405	26.686535	24.356405	25.686535	25.356405	25.686535	25.856405	24.820509	26.356405	23.954483	25.856405	23.088458	24.990380	23.588458	24.124354	23.088458	23.624354	23.954484	22.624354	23.954484	22.624354	24.954484	23.490380	25.454484
8	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	22.990379	26.320509	23.490379	25.454483	22.624353	24.954483	21.758328	25.454483	21.258328	24.588458	20.258328	24.588458	19.258328	24.588458	18.758328	25.454484	19.624354	25.954484	19.624354	26.954484	20.624354	26.954484	21.124354	27.820509	21.990379	27.320509	21.990379	26.320509
9	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	19.258328	24.588458	18.758328	23.722433	17.892303	24.222433	17.892303	25.222433	16.892303	25.222433	16.392303	26.088459	15.892303	26.954485	16.392303	27.820510	17.258328	27.320510	18.124354	27.820510	18.624354	26.954484	19.624354	26.954484	19.624354	25.954484	18.758328	25.454484
10	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	16.892303	25.222433	17.892303	25.222433	17.892303	24.222433	17.026278	23.722433	17.526278	22.856408	17.026278	21.990382	16.526278	21.124356	15.526278	21.124356	15.526278	22.124356	14.660252	22.624356	15.160252	23.490382	14.660252	24.356407	15.526277	24.856407	16.392303	24.356407
11	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	17.160253	18.758333	16.160253	18.758333	16.160253	19.758333	17.026278	20.258333	16.526278	21.124358	17.026278	21.990383	17.526278	22.856408	18.526278	22.856408	18.526278	21.856408	19.392303	21.356408	18.892303	20.490383	19.392303	19.624358	18.526278	19.124358	17.660253	19.624358
12	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	17.160253	18.758333	17.660253	19.624358	18.526278	19.124358	18.526278	18.124358	19.526278	18.124358	20.026278	17.258332	20.526278	16.392306	20.026278	15.526281	19.160253	16.026281	18.294227	15.526281	17.794227	16.392307	16.794227	16.392307	16.794227	17.392307	17.660253	17.892307
13	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	20.526278	16.392306	21.526278	16.392306	21.526278	15.392306	20.660252	14.892306	21.160252	14.026280	20.660252	13.160255	20.160252	12.294230	19.160252	12.294230	19.160252	13.294230	18.294227	13.794230	18.794227	14.660255	18.294227	15.526281	19.160253	16.026281	20.026278	15.526281
14	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	22.892304	15.758332	23.892304	15.758332	23.892304	14.758332	23.026279	14.258332	23.526279	13.392307	23.026279	12.526281	22.526279	11.660255	21.526279	11.660255	21.526279	12.660255	20.660253	13.160255	21.160253	14.026281	20.660253	14.892306	21.526278	15.392306	22.392304	14.892306
15	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	22.892304	15.758332	22.392304	16.624357	23.258329	17.124357	24.124355	16.624357	24.624355	17.490383	25.624355	17.490383	26.624355	17.490383	27.124355	16.624358	26.258330	16.124358	26.258330	15.124358	25.258330	15.124358	24.758330	14.258332	23.892304	14.758332	23.892304	15.758332
16	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	23.526279	13.392307	23.026279	14.258332	23.892304	14.758332	24.758330	14.258332	25.258330	15.124358	26.258330	15.124358	27.258330	15.124358	27.758330	14.258333	26.892305	13.758333	26.892305	12.758333	25.892305	12.758333	25.392305	11.892307	24.526279	12.392307	24.526279	13.392307
17	#8080ff	#000000	#00000000	#00000000			48.016656	43.748711	26.258331	11.392307	25.392305	11.892307	25.892305	12.758333	26.892305	12.758333	26.892305	13.758333	27.758330	14.258333	28.624355	14.758333	29.490381	14.258333	28.990381	13.392307	29.490381	12.526282	28.624356	12.026282	28.624356	11.026282	27.624356	11.026282	27.124356	11.892307
18	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	28.258331	8.660257	27.758331	7.794231	26.892305	8.294231	26.892305	9.294231	25.892305	9.294231	25.392305	10.160256	24.892305	11.026281	25.392305	11.892307	26.258331	11.392307	27.124356	11.892307	27.624356	11.026282	28.624356	11.026282	28.624356	10.026282	27.758331	9.526282
19	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	23.160254	9.294230	22.160254	9.294230	22.160254	10.294230	23.026279	10.794230	22.526279	11.660255	23.026279	12.526281	23.526279	13.392307	24.526279	13.392307	24.526279	12.392307	25.392305	11.892307	24.892305	11.026281	25.392305	10.160256	24.526280	9.660256	23.660254	10.160256
20	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	22.526279	11.660255	23.026279	10.794230	22.160254	10.294230	21.294229	10.794230	20.794229	9.928205	19.794229	9.928205	18.794229	9.928205	18.294229	10.794230	19.160254	11.294230	19.160254	12.294230	20.160254	12.294230	20.660254	13.160255	21.526279	12.660255	21.526279	11.660255
21	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	18.794229	9.928205	18.294229	9.062179	17.428203	9.562179	17.428203	10.562179	16.428203	10.562179	15.928203	11.428204	15.428203	12.294229	15.928203	13.160255	16.794229	12.660255	17.660254	13.160255	18.160254	12.294230	19.160254	12.294230	19.160254	11.294230	18.294229	10.794230
22	#8080ff	#000000	#00000000	#00000000			48.016656	43.748711	19.160252	13.294230	19.160252	12.294230	18.160252	12.294230	17.660252	13.160255	16.794227	12.660255	15.928202	13.160255	15.062177	13.660255	15.062177	14.660255	16.062177	14.660255	16.562177	15.526280	17.428202	15.026280	18.294227	15.526280	18.794227	14.660255	18.294227	13.794230
23	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	17.794227	16.392305	18.294227	15.526280	17.428202	15.026280	16.562176	15.526280	16.062176	14.660254	15.062176	14.660254	14.062176	14.660254	13.562176	15.526279	14.428201	16.026279	14.428201	17.026279	15.428201	17.026279	15.928201	17.892305	16.794227	17.392305	16.794227	16.392305
24	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	17.160253	18.758333	17.660253	17.892307	16.794227	17.392307	15.928202	17.892307	15.428202	17.026282	14.428202	17.026282	13.428202	17.026282	12.928202	17.892308	13.794228	18.392308	13.794228	19.392308	14.794228	19.392308	15.294228	20.258333	16.160253	19.758333	16.160253	18.758333
25	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	16.526278	21.124358	17.026278	20.258333	16.160253	19.758333	15.294227	20.258333	14.794227	19.392307	13.794227	19.392307	12.794227	19.392307	12.294227	20.258332	13.160252	20.758332	13.160252	21.758332	14.160252	21.758332	14.660252	22.624358	15.526278	22.124358	15.526278	21.124358
26	#8080ff	#000000	#00000000	#00000000			48.016656	43.748711	13.794226	23.124358	14.660252	22.624358	14.160252	21.758332	13.160252	21.758332	13.160252	20.758332	12.294227	20.258332	11.428202	19.758332	10.562176	20.258332	11.062176	21.124358	10.562176	21.990383	11.428201	22.490383	11.428201	23.490383	12.428201	23.490383	12.928201	22.624358
27	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	13.428203	17.026283	12.928203	16.160258	12.062178	16.660258	12.062178	17.660258	11.062178	17.660258	10.562178	18.526283	10.062178	19.392308	10.562178	20.258333	11.428203	19.758333	12.294228	20.258333	12.794228	19.392308	13.794228	19.392308	13.794228	18.392308	12.928203	17.892308
28	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	13.428201	17.026279	14.428201	17.026279	14.428201	16.026279	13.562176	15.526279	14.062176	14.660254	13.562176	13.794229	13.062176	12.928204	12.062176	12.928204	12.062176	13.928204	11.196151	14.428204	11.696151	15.294229	11.196151	16.160254	12.062176	16.660254	12.928201	16.160254
29	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	13.696152	10.562178	12.696152	10.562178	12.696152	11.562178	13.562177	12.062178	13.062177	12.928203	13.562177	13.794229	14.062177	14.660255	15.062177	14.660255	15.062177	13.660255	15.928203	13.160255	15.428203	12.294229	15.928203	11.428204	15.062178	10.928204	14.196152	11.428204
30	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	17.062178	8.196154	16.562178	7.330129	15.696153	7.830129	15.696153	8.830129	14.696153	8.830129	14.196153	9.696154	13.696153	10.562179	14.196153	11.428204	15.062178	10.928204	15.928203	11.428204	16.428203	10.562179	17.428203	10.562179	17.428203	9.562179	16.562178	9.062179
31	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	11.330127	11.196153	11.830127	12.062179	12.696153	11.562179	12.696153	10.562179	13.696153	10.562179	14.196153	9.696154	14.696153	8.830129	14.196153	7.964103	13.330127	8.464103	12.464102	7.964103	11.964102	8.830128	10.964102	8.830128	10.964102	9.830128	11.830127	10.330128
32	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	13.062177	12.928203	13.562177	12.062178	12.696152	11.562178	11.830126	12.062178	11.330126	11.196152	10.330126	11.196152	9.330126	11.196152	8.830126	12.062177	9.696151	12.562177	9.696151	13.562177	10.696151	13.562177	11.196151	14.428203	12.062177	13.928203	12.062177	12.928203
33	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	11.062178	17.660258	12.062178	17.660258	12.062178	16.660258	11.196153	16.160258	11.696153	15.294233	11.196153	14.428208	10.696153	13.562183	9.696153	13.562183	9.696153	14.562183	8.830128	15.062183	9.330128	15.928208	8.830128	16.794233	9.696153	17.294233	10.562178	16.794233
34	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	7.696152	20.026282	8.196152	20.892308	9.062178	20.392308	9.062178	19.392308	10.062178	19.392308	10.562178	18.526283	11.062178	17.660258	10.562178	16.794232	9.696152	17.294232	8.830127	16.794232	8.330127	17.660257	7.330127	17.660257	7.330127	18.660257	8.196152	19.160257
35	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	10.428201	23.490383	11.428201	23.490383	11.428201	22.490383	10.562176	21.990383	11.062176	21.124358	10.562176	20.258333	10.062176	19.392308	9.062176	19.392308	9.062176	20.392308	8.196151	20.892308	8.696151	21.758333	8.196151	22.624358	9.062176	23.124358	9.928201	22.624358
