seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12	px_13	py_13
0	#d0d0d0	#000000	#00000000	#00000000	Starting tile pattern based on an aperiodic Tile(1,1) tiling in <a href="https://cs.uwaterloo.ca/~csk/spectre/examples/patch.png">patch.png</a> by David Smith, Joseph Samuel Myers, Craig S. Kaplan, and Chaim Goodman-Strauss, used under <a href="http://creativecommons.org/licenses/by/4.0/">CC BY 4.0</a> / The cropping and colors differ from the original. The Tile(1,1) tiles are replaced by hats surrounded by turtles.	84.870499	77.999995	33.774996	38.999995	32.908971	40.499995	33.774996	40.999995	34.641021	40.499995	35.507046	41.999995	37.239097	41.999995	38.971148	41.999995	39.837173	40.499995	38.971148	39.999995	38.971148	38.999995	37.239097	38.999995	36.373072	37.499995	35.507047	37.999995	35.507047	38.999995
1	#d0d0d0	#000000	#00000000	#00000000		84.870499	77.999995	38.971148	41.999995	39.837173	43.499995	40.703198	42.999995	40.703198	41.999995	42.435249	41.999995	43.301274	40.499995	44.167299	38.999995	43.301274	37.499995	42.435249	37.999995	41.569224	37.499995	40.703199	38.999995	38.971148	38.999995	38.971148	39.999995	39.837173	40.499995
2	#8080ff	#000000	#00000000	#00000000		84.870499	77.999995	38.971147	37.999995	38.971147	38.999995	40.703198	38.999995	41.569224	37.499995	42.435249	37.999995	43.301275	37.499995	44.167301	36.999995	44.167301	35.999995	42.435250	35.999995	41.569225	34.499995	40.703199	34.999995	39.837174	34.499995	38.971148	35.999995	39.837173	37.499995
3	#d0d0d0	#000000	#00000000	#00000000		84.870499	77.999995	37.239098	32.999995	35.507047	32.999994	35.507047	33.999994	36.373072	34.499994	35.507046	35.999994	36.373071	37.499994	37.239096	38.999994	38.971147	38.999995	38.971147	37.999995	39.837173	37.499995	38.971148	35.999995	39.837174	34.499995	38.971149	33.999995	38.105123	34.499995
4	#d0d0d0	#000000	#00000000	#00000000		84.870499	77.999995	42.435252	29.999996	41.569227	28.499996	40.703201	28.999996	40.703201	29.999996	38.971150	29.999995	38.105124	31.499995	37.239098	32.999995	38.105123	34.499995	38.971149	33.999995	39.837174	34.499995	40.703200	32.999995	42.435251	32.999996	42.435251	31.999996	41.569226	31.499996
5	#d0d0d0	#000000	#00000000	#00000000		84.870499	77.999995	40.703200	32.999995	39.837174	34.499995	40.703199	34.999995	41.569225	34.499995	42.435250	35.999995	44.167301	35.999996	45.899352	35.999997	46.765378	34.499997	45.899353	33.999997	45.899353	32.999997	44.167302	32.999996	43.301277	31.499996	42.435251	31.999996	42.435251	32.999996
6	#d0d0d0	#000000	#00000000	#00000000		84.870499	77.999995	45.899351	41.999995	47.631402	41.999995	47.631402	40.999995	46.765377	40.499995	47.631402	38.999995	46.765377	37.499995	45.899352	35.999995	44.167301	35.999995	44.167301	36.999995	43.301276	37.499995	44.167301	38.999995	43.301276	40.499995	44.167301	40.999995	45.033326	40.499995
7	#d0d0d0	#000000	#00000000	#00000000		84.870499	77.999995	40.703200	44.999995	41.569226	46.499995	42.435251	45.999995	42.435251	44.999995	44.167302	44.999995	45.033327	43.499995	45.899352	41.999995	45.033326	40.499995	44.167301	40.999995	43.301275	40.499995	42.435250	41.999995	40.703199	41.999995	40.703199	42.999995	41.569225	43.499995
8	#d0d0d0	#000000	#00000000	#00000000		84.870499	77.999995	40.703199	44.999995	41.569224	43.499995	40.703198	42.999995	39.837173	43.499995	38.971147	41.999995	37.239096	41.999995	35.507045	41.999995	34.641020	43.499995	35.507046	43.999995	35.507046	44.999995	37.239097	44.999995	38.105123	46.499995	38.971148	45.999995	38.971148	44.999995
9	#d0d0d0	#000000	#00000000	#00000000		84.870499	77.999995	35.507047	41.999995	34.641021	40.499995	33.774996	40.999995	33.774996	41.999995	32.042945	41.999995	31.176920	43.499995	30.310895	44.999995	31.176921	46.499995	32.042946	45.999995	32.908972	46.499995	33.774997	44.999995	35.507048	44.999995	35.507048	43.999995	34.641022	43.499995
10	#d0d0d0	#000000	#00000000	#00000000		84.870499	77.999995	32.042945	41.999995	33.774996	41.999995	33.774996	40.999995	32.908971	40.499995	33.774997	38.999995	32.908972	37.499995	32.042947	35.999995	30.310896	35.999995	30.310896	36.999995	29.444870	37.499995	30.310895	38.999995	29.444869	40.499995	30.310894	40.999995	31.176920	40.499995
