seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12
0	#d0d0d0	#000000	#00000000	#00000000	Starting tile pattern based on an aperiodic Tile(1,1) tiling in <a href="https://cs.uwaterloo.ca/~csk/spectre/examples/patch.png">patch.png</a> by David Smith, Joseph Samuel Myers, Craig S. Kaplan, and Chaim Goodman-Strauss, used under <a href="http://creativecommons.org/licenses/by/4.0/">CC BY 4.0</a> / The cropping and colors differ from the original.	48.016654	43.748719	17.526276	22.856407	17.026276	23.722432	17.892301	24.222432	18.758326	23.722432	19.258326	24.588457	21.258326	24.588457	21.758326	23.722432	20.892301	23.222432	20.892301	22.222432	19.892301	22.222432	19.392301	21.356407	18.526276	21.856407	18.526276	22.856407
1	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	21.258326	24.588457	21.758326	25.454482	22.624351	24.954482	22.624351	23.954482	23.624351	23.954482	24.624351	22.222431	24.124351	21.356406	23.258326	21.856406	22.392301	21.356406	21.892301	22.222431	20.892301	22.222431	20.892301	23.222432	21.758326	23.722432
2	#8080ff	#000000	#00000000	#00000000		48.016654	43.748719	20.892300	21.222431	20.892300	22.222431	21.892300	22.222431	22.392300	21.356406	23.258326	21.856406	24.990377	20.856406	24.990377	19.856406	23.990377	19.856406	23.490377	18.990380	22.624351	19.490380	21.758326	18.990380	21.258326	19.856405	21.758326	20.722431
3	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	19.526275	18.124354	18.526275	18.124354	18.526275	19.124354	19.392300	19.624354	18.892300	20.490379	19.892299	22.222430	20.892299	22.222430	20.892299	21.222430	21.758326	20.722431	21.258326	19.856405	21.758326	18.990380	20.892301	18.490380	20.026275	18.990380
4	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	22.892301	15.758330	22.392301	14.892304	21.526275	15.392304	21.526275	16.392304	20.526275	16.392304	19.526274	18.124355	20.026274	18.990381	20.892301	18.490380	21.758326	18.990380	22.258326	18.124355	23.258326	18.124355	23.258326	17.124355	22.392301	16.624355
5	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	22.258326	18.124356	21.758326	18.990381	22.624351	19.490381	23.490377	18.990380	23.990377	19.856406	25.990377	19.856407	26.490377	18.990382	25.624352	18.490382	25.624352	17.490382	24.624352	17.490382	24.124352	16.624356	23.258326	17.124356	23.258326	18.124356
6	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	26.356402	23.954481	27.356402	23.954481	27.356402	22.954481	26.490377	22.454481	26.990377	21.588456	25.990377	19.856405	24.990377	19.856405	24.990377	20.856406	24.124352	21.356406	24.624352	22.222431	24.124352	23.088456	24.990377	23.588456	25.856402	23.088456
7	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	22.990377	26.320508	23.490377	27.186533	24.356402	26.686533	24.356402	25.686533	25.356402	25.686533	26.356402	23.954482	25.856402	23.088457	24.990377	23.588456	24.124351	23.088456	23.624351	23.954482	22.624351	23.954482	22.624351	24.954482	23.490377	25.454482
8	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	22.990377	26.320508	23.490377	25.454482	22.624351	24.954482	21.758326	25.454482	21.258326	24.588457	19.258326	24.588457	18.758326	25.454483	19.624352	25.954483	19.624352	26.954483	20.624352	26.954483	21.124352	27.820508	21.990377	27.320508	21.990377	26.320508
9	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	19.258326	24.588456	18.758326	23.722431	17.892301	24.222432	17.892301	25.222432	16.892301	25.222432	15.892301	26.954483	16.392301	27.820508	17.258326	27.320508	18.124352	27.820508	18.624352	26.954482	19.624352	26.954482	19.624352	25.954482	18.758326	25.454482
10	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	16.892301	25.222433	17.892301	25.222433	17.892301	24.222433	17.026276	23.722432	17.526276	22.856407	16.526276	21.124356	15.526276	21.124356	15.526276	22.124356	14.660250	22.624356	15.160250	23.490382	14.660250	24.356407	15.526275	24.856407	16.392301	24.356407
11	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	17.160251	18.758332	16.160251	18.758332	16.160251	19.758332	17.026276	20.258332	16.526276	21.124357	17.526276	22.856408	18.526276	22.856407	18.526276	21.856407	19.392301	21.356407	18.892301	20.490382	19.392301	19.624357	18.526276	19.124357	17.660251	19.624357
12	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	17.160251	18.758333	17.660251	19.624358	18.526276	19.124357	18.526276	18.124357	19.526276	18.124357	20.526276	16.392306	20.026276	15.526281	19.160251	16.026281	18.294225	15.526281	17.794225	16.392307	16.794225	16.392307	16.794225	17.392307	17.660251	17.892307
13	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	20.526276	16.392306	21.526276	16.392306	21.526276	15.392306	20.660250	14.892306	21.160250	14.026280	20.160250	12.294229	19.160250	12.294229	19.160250	13.294229	18.294225	13.794229	18.794225	14.660254	18.294225	15.526280	19.160251	16.026280	20.026276	15.526280
14	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	22.892301	15.758330	23.892301	15.758330	23.892301	14.758330	23.026276	14.258330	23.526276	13.392305	22.526277	11.660254	21.526277	11.660254	21.526277	12.660254	20.660251	13.160254	21.160251	14.026280	20.660251	14.892305	21.526276	15.392305	22.392302	14.892305
15	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	22.892301	15.758330	22.392301	16.624355	23.258326	17.124355	24.124352	16.624355	24.624352	17.490381	26.624352	17.490381	27.124352	16.624356	26.258327	16.124356	26.258327	15.124356	25.258327	15.124356	24.758327	14.258330	23.892301	14.758330	23.892301	15.758330
16	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	23.526276	13.392306	23.026276	14.258331	23.892301	14.758331	24.758327	14.258330	25.258327	15.124356	27.258327	15.124357	27.758327	14.258332	26.892302	13.758332	26.892302	12.758332	25.892302	12.758332	25.392302	11.892306	24.526276	12.392306	24.526276	13.392306
17	#8080ff	#000000	#00000000	#00000000		48.016654	43.748719	26.258329	11.392307	25.392303	11.892307	25.892302	12.758332	26.892302	12.758332	26.892302	13.758332	28.624353	14.758333	29.490379	14.258333	28.990379	13.392307	29.490379	12.526282	28.624354	12.026282	28.624354	11.026282	27.624354	11.026282	27.124354	11.892307
18	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	28.258329	8.660257	27.758329	7.794231	26.892303	8.294231	26.892303	9.294231	25.892303	9.294231	24.892303	11.026282	25.392303	11.892308	26.258329	11.392308	27.124354	11.892307	27.624354	11.026282	28.624354	11.026282	28.624354	10.026282	27.758329	9.526282
19	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	23.160251	9.294228	22.160251	9.294228	22.160251	10.294228	23.026276	10.794228	22.526276	11.660253	23.526276	13.392305	24.526276	13.392305	24.526276	12.392305	25.392302	11.892305	24.892302	11.026279	25.392302	10.160254	24.526277	9.660254	23.660251	10.160254
20	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	22.526277	11.660254	23.026277	10.794229	22.160252	10.294229	21.294227	10.794229	20.794227	9.928204	18.794227	9.928204	18.294227	10.794229	19.160252	11.294229	19.160252	12.294229	20.160252	12.294229	20.660252	13.160254	21.526277	12.660254	21.526277	11.660254
21	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	18.794227	9.928204	18.294227	9.062178	17.428201	9.562178	17.428201	10.562178	16.428201	10.562178	15.428201	12.294229	15.928201	13.160255	16.794227	12.660255	17.660252	13.160255	18.160252	12.294230	19.160252	12.294230	19.160252	11.294230	18.294227	10.794229
22	#8080ff	#000000	#00000000	#00000000		48.016654	43.748719	19.160249	13.294229	19.160250	12.294229	18.160250	12.294229	17.660250	13.160254	16.794225	12.660254	15.062174	13.660254	15.062174	14.660254	16.062174	14.660254	16.562174	15.526279	17.428199	15.026279	18.294224	15.526279	18.794224	14.660254	18.294224	13.794229
23	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	17.794224	16.392304	18.294224	15.526279	17.428199	15.026279	16.562173	15.526279	16.062173	14.660253	14.062173	14.660253	13.562173	15.526278	14.428198	16.026278	14.428198	17.026278	15.428198	17.026278	15.928198	17.892304	16.794224	17.392304	16.794224	16.392304
24	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	17.160251	18.758334	17.660251	17.892308	16.794225	17.392307	15.928200	17.892307	15.428200	17.026282	13.428200	17.026283	12.928200	17.892309	13.794226	18.392309	13.794226	19.392309	14.794226	19.392309	15.294226	20.258334	16.160251	19.758334	16.160251	18.758334
25	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	16.526276	21.124357	17.026276	20.258332	16.160251	19.758332	15.294225	20.258332	14.794225	19.392306	12.794225	19.392306	12.294225	20.258331	13.160250	20.758331	13.160250	21.758331	14.160250	21.758331	14.660250	22.624357	15.526276	22.124357	15.526276	21.124357
26	#8080ff	#000000	#00000000	#00000000		48.016654	43.748719	13.794223	23.124356	14.660249	22.624356	14.160250	21.758331	13.160250	21.758331	13.160250	20.758331	11.428199	19.758330	10.562173	20.258330	11.062173	21.124356	10.562173	21.990381	11.428198	22.490381	11.428198	23.490381	12.428198	23.490381	12.928198	22.624356
27	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	13.428201	17.026284	12.928201	16.160259	12.062176	16.660259	12.062176	17.660259	11.062176	17.660259	10.062176	19.392310	10.562176	20.258335	11.428201	19.758335	12.294226	20.258335	12.794226	19.392310	13.794226	19.392310	13.794226	18.392309	12.928201	17.892309
28	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	13.428198	17.026277	14.428198	17.026277	14.428198	16.026278	13.562173	15.526278	14.062173	14.660253	13.062173	12.928202	12.062173	12.928202	12.062173	13.928202	11.196148	14.428202	11.696148	15.294227	11.196148	16.160252	12.062173	16.660252	12.928198	16.160252
29	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	13.696150	10.562178	12.696150	10.562178	12.696150	11.562178	13.562175	12.062178	13.062175	12.928203	14.062174	14.660254	15.062174	14.660254	15.062174	13.660254	15.928200	13.160254	15.428201	12.294229	15.928201	11.428204	15.062176	10.928204	14.196150	11.428204
30	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	17.062176	8.196153	16.562176	7.330128	15.696151	7.830128	15.696151	8.830128	14.696151	8.830128	13.696151	10.562179	14.196151	11.428204	15.062176	10.928204	15.928201	11.428204	16.428201	10.562179	17.428201	10.562178	17.428201	9.562178	16.562176	9.062178
31	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	11.330126	11.196153	11.830126	12.062178	12.696151	11.562178	12.696151	10.562178	13.696151	10.562178	14.696151	8.830128	14.196151	7.964103	13.330126	8.464103	12.464101	7.964103	11.964101	8.830128	10.964101	8.830128	10.964101	9.830128	11.830126	10.330128
32	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	13.062175	12.928203	13.562175	12.062178	12.696150	11.562178	11.830124	12.062178	11.330124	11.196152	9.330124	11.196152	8.830124	12.062177	9.696149	12.562177	9.696149	13.562177	10.696149	13.562177	11.196149	14.428203	12.062175	13.928203	12.062175	12.928203
33	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	11.062176	17.660258	12.062176	17.660259	12.062176	16.660259	11.196151	16.160259	11.696151	15.294234	10.696151	13.562183	9.696151	13.562183	9.696151	14.562183	8.830126	15.062183	9.330126	15.928208	8.830126	16.794233	9.696151	17.294233	10.562176	16.794233
34	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	7.696151	20.026284	8.196151	20.892309	9.062176	20.392309	9.062176	19.392309	10.062176	19.392309	11.062176	17.660259	10.562176	16.794234	9.696151	17.294234	8.830126	16.794234	8.330126	17.660259	7.330126	17.660259	7.330126	18.660259	8.196151	19.160259
35	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	10.428198	23.490380	11.428198	23.490380	11.428198	22.490381	10.562173	21.990381	11.062173	21.124356	10.062173	19.392305	9.062173	19.392305	9.062173	20.392305	8.196148	20.892305	8.696148	21.758330	8.196148	22.624355	9.062173	23.124355	9.928198	22.624355
36	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	8.062173	24.124356	9.062173	24.124356	9.062173	23.124356	8.196148	22.624355	8.696148	21.758330	7.696148	20.026279	6.696148	20.026279	6.696148	21.026279	5.830122	21.526279	6.330122	22.392305	5.830122	23.258330	6.696147	23.758330	7.562173	23.258330
37	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	7.696148	20.026279	8.196148	19.160254	7.330123	18.660254	6.464098	19.160254	5.964098	18.294229	3.964098	18.294229	3.464098	19.160254	4.330123	19.660254	4.330123	20.660254	5.330123	20.660254	5.830123	21.526279	6.696148	21.026279	6.696148	20.026279
38	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	8.330126	17.660259	8.830126	16.794234	7.964101	16.294234	7.098075	16.794234	6.598075	15.928208	4.598075	15.928208	4.098075	16.794233	4.964100	17.294233	4.964100	18.294233	5.964100	18.294233	6.464100	19.160259	7.330126	18.660259	7.330126	17.660259
39	#8080ff	#000000	#00000000	#00000000		48.016654	43.748719	9.696150	14.562183	9.696151	13.562183	8.696151	13.562183	8.196151	14.428208	7.330126	13.928208	5.598075	14.928208	5.598075	15.928208	6.598075	15.928208	7.098075	16.794233	7.964100	16.294233	8.830125	16.794233	9.330125	15.928208	8.830125	15.062183
40	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	9.330124	11.196152	8.830124	10.330126	7.964098	10.830126	7.964098	11.830126	6.964098	11.830126	5.964098	13.562177	6.464098	14.428203	7.330124	13.928203	8.196149	14.428203	8.696149	13.562178	9.696149	13.562178	9.696149	12.562178	8.830124	12.062178
