seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12	px_13	py_13
0	#d0d0d0	#000000	#00000000	#00000000	Starting tile pattern based on an aperiodic Tile(1,1) tiling in <a href="https://cs.uwaterloo.ca/~csk/spectre/examples/patch.png">patch.png</a> by David Smith, Joseph Samuel Myers, Craig S. Kaplan, and Chaim Goodman-Strauss, used under <a href="http://creativecommons.org/licenses/by/4.0/">CC BY 4.0</a> / The cropping and colors differ from the original. The Tile(1,1) tiles are replaced by turtles surrounded by hats.	76.500001	74.478179	29.000000	39.837173	28.500000	40.703198	30.000000	41.569223	31.500000	40.703198	32.000000	41.569223	33.000000	41.569223	34.000000	41.569223	34.500000	40.703198	33.000000	39.837173	33.000000	38.105122	32.000000	38.105122	31.500000	37.239097	30.000000	38.105122	30.000000	39.837173
1	#d0d0d0	#000000	#00000000	#00000000		76.500001	74.478179	34.000000	41.569223	34.500000	42.435248	36.000000	41.569223	36.000000	39.837172	37.000000	39.837172	37.500000	38.971147	38.000000	38.105122	37.500000	37.239097	36.000000	38.105122	34.500000	37.239097	34.000000	38.105122	33.000000	38.105122	33.000000	39.837173	34.500000	40.703198
2	#8080ff	#000000	#00000000	#00000000		76.500001	74.478179	33.000000	36.373072	33.000000	38.105123	34.000000	38.105123	34.500000	37.239097	36.000000	38.105122	37.500000	37.239096	39.000000	36.373070	39.000000	34.641019	38.000000	34.641019	37.500000	33.774994	36.000000	34.641020	34.500000	33.774995	34.000000	34.641021	34.500000	35.507046
3	#d0d0d0	#000000	#00000000	#00000000		76.500001	74.478179	31.000000	32.908971	30.000000	32.908971	30.000001	34.641022	31.500001	35.507047	31.000001	36.373073	31.500001	37.239098	32.000001	38.105123	33.000001	38.105123	33.000000	36.373072	34.500000	35.507046	34.000000	34.641021	34.500000	33.774995	33.000000	32.908970	31.500000	33.774996
4	#d0d0d0	#000000	#00000000	#00000000		76.500001	74.478179	34.999999	29.444867	34.499999	28.578842	32.999999	29.444868	33.000000	31.176919	32.000000	31.176919	31.500000	32.042945	31.000000	32.908971	31.500000	33.774996	33.000000	32.908970	34.500000	33.774995	35.000000	32.908969	36.000000	32.908969	35.999999	31.176918	34.499999	30.310893
5	#d0d0d0	#000000	#00000000	#00000000		76.500001	74.478179	35.000000	32.908969	34.500000	33.774995	36.000000	34.641020	37.500000	33.774994	38.000000	34.641019	39.000000	34.641019	40.000000	34.641019	40.500000	33.774993	39.000000	32.908968	38.999999	31.176917	37.999999	31.176917	37.499999	30.310892	35.999999	31.176918	36.000000	32.908969
6	#d0d0d0	#000000	#00000000	#00000000		76.500001	74.478179	41.000000	39.837170	42.000000	39.837170	42.000000	38.105119	40.500000	37.239094	41.000000	36.373069	40.500000	35.507044	40.000000	34.641019	39.000000	34.641019	39.000000	36.373070	37.500000	37.239095	38.000000	38.105120	37.500000	38.971145	39.000000	39.837170	40.500000	38.971145
7	#d0d0d0	#000000	#00000000	#00000000		76.500001	74.478179	37.000000	43.301271	37.500000	44.167297	39.000000	43.301272	39.000000	41.569221	40.000000	41.569221	40.500000	40.703196	41.000000	39.837171	40.500000	38.971145	39.000000	39.837170	37.500000	38.971144	37.000000	39.837169	36.000000	39.837169	36.000000	41.569220	37.500000	42.435246
8	#d0d0d0	#000000	#00000000	#00000000		76.500001	74.478179	37.000000	43.301274	37.500000	42.435249	36.000000	41.569223	34.500000	42.435248	34.000000	41.569222	33.000000	41.569222	32.000000	41.569222	31.500000	42.435247	33.000000	43.301273	33.000000	45.033324	34.000000	45.033324	34.500000	45.899350	36.000000	45.033325	36.000000	43.301274
9	#d0d0d0	#000000	#00000000	#00000000		76.500001	74.478179	32.000000	41.569224	31.500000	40.703198	30.000000	41.569223	30.000000	43.301274	29.000000	43.301274	28.500000	44.167299	28.000000	45.033324	28.500000	45.899350	30.000000	45.033325	31.500000	45.899351	32.000000	45.033326	33.000000	45.033326	33.000000	43.301275	31.500000	42.435249
10	#d0d0d0	#000000	#00000000	#00000000		76.500001	74.478179	29.000000	43.301274	30.000000	43.301274	30.000000	41.569223	28.500000	40.703198	29.000000	39.837172	28.500000	38.971147	28.000000	38.105122	27.000000	38.105122	27.000000	39.837173	25.500000	40.703199	26.000000	41.569224	25.500000	42.435250	27.000000	43.301275	28.500000	42.435249
11	#d0d0d0	#000000	#00000000	#00000000		76.500001	74.478179	28.000000	34.641022	27.000000	34.641022	27.000000	36.373073	28.500000	37.239098	28.000000	38.105123	28.500000	38.971148	29.000000	39.837173	30.000000	39.837173	30.000000	38.105122	31.500000	37.239097	31.000000	36.373072	31.500000	35.507047	30.000000	34.641022	28.500000	35.507047
12	#d0d0d0	#000000	#00000000	#00000000		76.500001	74.478179	28.000000	34.641021	28.500000	35.507047	30.000000	34.641022	30.000000	32.908971	31.000000	32.908971	31.500000	32.042946	32.000000	31.176921	31.500000	30.310895	30.000000	31.176920	28.500000	30.310894	28.000000	31.176919	27.000000	31.176919	27.000000	32.908970	28.500000	33.774996
13	#d0d0d0	#000000	#00000000	#00000000		76.500001	74.478179	32.000000	31.176921	33.000000	31.176921	33.000001	29.444870	31.500001	28.578844	32.000001	27.712819	31.500001	26.846793	31.000001	25.980767	30.000001	25.980767	30.000000	27.712818	28.500000	28.578843	29.000000	29.444869	28.500000	30.310894	30.000000	31.176920	31.500000	30.310895
14	#d0d0d0	#000000	#00000000	#00000000		76.500001	74.478179	34.999999	29.444867	35.999999	29.444867	35.999999	27.712816	34.499999	26.846791	34.999999	25.980765	34.499999	25.114740	33.999999	24.248715	32.999999	24.248715	32.999999	25.980766	31.499999	26.846792	31.999999	27.712817	31.499999	28.578843	32.999999	29.444868	34.499999	28.578842
15	#d0d0d0	#000000	#00000000	#00000000		76.500001	74.478179	34.999999	29.444867	34.499999	30.310893	35.999999	31.176918	37.499999	30.310892	37.999999	31.176917	38.999999	31.176917	39.999999	31.176917	40.499999	30.310891	38.999999	29.444866	38.999999	27.712815	37.999999	27.712815	37.499999	26.846790	35.999999	27.712816	35.999999	29.444867
16	#d0d0d0	#000000	#00000000	#00000000		76.500001	74.478179	34.999999	25.980765	34.499999	26.846791	35.999999	27.712816	37.499999	26.846790	37.999999	27.712815	38.999999	27.712815	39.999999	27.712815	40.499999	26.846789	38.999999	25.980764	38.999998	24.248713	37.999998	24.248713	37.499998	23.382688	35.999998	24.248714	35.999999	25.980765
17	#8080ff	#000000	#00000000	#00000000		76.500001	74.478179	38.999998	22.516662	37.499998	23.382688	37.999998	24.248713	38.999998	24.248713	38.999998	25.980764	40.499998	26.846789	41.999998	27.712814	43.499998	26.846788	42.999998	25.980763	43.499998	25.114737	41.999998	24.248712	41.999998	22.516661	40.999998	22.516661	40.499998	23.382687
18	#d0d0d0	#000000	#00000000	#00000000		76.500001	74.478179	40.999998	19.052559	40.499998	18.186534	38.999998	19.052560	38.999998	20.784611	37.999998	20.784611	37.499998	21.650637	36.999998	22.516663	37.499998	23.382688	38.999998	22.516662	40.499998	23.382687	40.999998	22.516661	41.999998	22.516661	41.999998	20.784610	40.499998	19.918585
19	#d0d0d0	#000000	#00000000	#00000000		76.500001	74.478179	33.999999	20.784613	32.999999	20.784613	32.999999	22.516664	34.499999	23.382689	33.999999	24.248715	34.499999	25.114740	34.999999	25.980765	35.999999	25.980765	35.999999	24.248714	37.499999	23.382688	36.999999	22.516663	37.499999	21.650637	35.999999	20.784612	34.499999	21.650638
20	#d0d0d0	#000000	#00000000	#00000000		76.500001	74.478179	33.999999	24.248715	34.499999	23.382690	32.999999	22.516665	31.499999	23.382690	30.999999	22.516665	29.999999	22.516665	28.999999	22.516665	28.499999	23.382690	29.999999	24.248715	29.999999	25.980766	30.999999	25.980766	31.499999	26.846791	32.999999	25.980766	32.999999	24.248715
