seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12
0	#66ccff	#000000	#00000000	#00000000	Starting tile pattern based on a 'turtle' tiling in a <a href="https://cs.uwaterloo.ca/~csk/hat/examples/animation.gif">looping animated GIF</a> by David Smith, Joseph Samuel Myers, Craig S. Kaplan, and Chaim Goodman-Strauss, used under <a href="http://creativecommons.org/licenses/by/4.0/">CC BY 4.0</a> / This is a recreation of the original rather than a screenshot, and the cropping, colors, and vertical orientation differ slightly from the original.	53.498549	54.701979	20.174751	19.778489	20.949752	18.441654	20.177930	17.994207	19.404518	18.438901	18.634285	17.099313	15.543817	17.093807	14.768816	18.430642	15.540638	18.878089	15.539049	19.770230	17.084282	19.772983	17.854515	21.112571	18.627927	20.667878	18.629516	19.775736
1	#A0A0A0	#000000	#00000000	#00000000		53.498549	54.701979	21.724752	17.104818	20.179518	17.102065	20.177929	17.994206	20.949751	18.441654	20.174751	19.778489	21.715216	22.457665	23.260449	22.460418	23.262038	21.568277	24.035450	21.123583	23.265218	19.783995	24.040219	18.447160	23.268396	17.999712	22.494984	18.444406
2	#ffffff	#000000	#00000000	#00000000		53.498549	54.701979	18.634283	17.099312	19.404516	18.438900	20.177928	17.994207	20.179517	17.102065	21.724752	17.104818	23.274753	14.431148	22.504521	13.091559	21.731109	13.536253	20.959286	13.088807	20.184285	14.425642	18.639052	14.422889	18.637462	15.315030	19.409284	15.762477
3	#ffffff	#000000	#00000000	#00000000		53.498549	54.701979	14.003352	14.414631	13.228351	15.751466	14.000173	16.198913	14.773585	15.754219	15.543818	17.093807	18.634285	17.099313	19.409286	15.762477	18.637464	15.315031	18.639053	14.422889	17.093820	14.420136	16.323587	13.080548	15.550175	13.525242	15.548586	14.417384
4	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	10.903347	19.761972	11.673580	21.101560	12.446992	20.656866	12.448581	19.764725	13.993815	19.767477	15.543817	17.093807	14.773585	15.754219	14.000173	16.198913	13.228351	15.751466	12.453350	17.088301	10.908115	17.085548	10.906526	17.977690	11.678348	18.425136
5	#006699	#000000	#00000000	#00000000		53.498549	54.701979	17.084283	19.772983	17.854516	21.112571	17.081104	21.557265	16.309282	21.109818	15.534281	22.446654	12.443814	22.441148	11.673581	21.101560	12.446993	20.656866	12.448582	19.764724	13.993815	19.767477	14.768816	18.430642	15.540638	18.878089	15.539049	19.770230
6	#A0A0A0	#000000	#00000000	#00000000		53.498549	54.701979	26.365223	14.436653	25.594990	13.097065	24.821578	13.541759	24.819989	14.433900	23.274754	14.431147	21.724752	17.104818	22.494984	18.444406	23.268396	17.999712	24.040219	18.447159	24.815220	17.110324	26.360454	17.113076	26.362044	16.220935	25.590221	15.773488
7	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	23.274755	14.431147	24.819989	14.433900	24.821578	13.541759	24.049756	13.094312	24.824757	11.757477	23.284291	9.078301	21.739058	9.075547	21.737469	9.967689	20.964057	10.412383	21.734289	11.751971	20.959288	13.088806	21.731110	13.536253	22.504522	13.091559
8	#006699	#000000	#00000000	#00000000		53.498549	54.701979	20.193825	9.072794	21.739059	9.075547	21.737469	9.967689	20.964057	10.412383	21.734289	11.751971	20.184288	14.425641	18.639053	14.422889	18.640643	13.530747	17.868820	13.083300	18.643822	11.746465	17.873589	10.406877	18.647001	9.962183	19.418823	10.409630
9	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	17.093819	14.420137	18.639053	14.422890	18.640642	13.530749	17.868820	13.083301	18.643821	11.746466	17.103357	9.067289	15.558123	9.064535	15.556534	9.956676	14.783122	10.401370	15.553354	11.740958	14.778353	13.077794	15.550175	13.525241	16.323587	13.080548
10	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	14.003351	14.414629	15.548585	14.417383	15.550174	13.525241	14.778353	13.077794	15.553354	11.740958	14.012889	9.061782	12.467655	9.059028	12.466066	9.951170	11.692654	10.395863	12.462886	11.735452	11.687885	13.072287	12.459707	13.519735	13.233119	13.075041
11	#A0A0A0	#000000	#00000000	#00000000		53.498549	54.701979	9.362881	17.082791	10.133113	18.422379	10.906525	17.977685	10.908114	17.085544	12.453348	17.088298	14.003351	14.414628	13.233119	13.075041	12.459707	13.519735	11.687886	13.072287	10.912884	14.409121	9.367650	14.406367	9.366061	15.298509	10.137883	15.745957
12	#ffffff	#000000	#00000000	#00000000		53.498549	54.701979	9.362881	17.082791	7.817647	17.080037	7.816058	17.972179	8.587880	18.419626	7.812879	19.756461	9.353343	22.435639	10.898577	22.438393	10.900166	21.546251	11.673578	21.101557	10.903346	19.761969	11.678348	18.425134	10.906525	17.977686	10.133113	18.422379
13	#ffffff	#000000	#00000000	#00000000		53.498549	54.701979	9.353343	22.435639	8.578342	23.772473	9.350163	24.219921	10.123575	23.775227	10.893807	25.114816	13.984275	25.120323	14.759276	23.783489	13.987454	23.336041	13.989044	22.443900	12.443810	22.441146	11.673578	21.101557	10.900166	21.546251	10.898577	22.438393
14	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	13.984275	25.120323	14.754507	26.459912	15.527919	26.015218	15.529508	25.123076	17.074742	25.125830	18.624745	22.452160	17.854513	21.112572	17.081101	21.557266	16.309280	21.109818	15.534278	22.446652	13.989045	22.443899	13.987455	23.336040	14.759277	23.783488
15	#A0A0A0	#000000	#00000000	#00000000		53.498549	54.701979	15.524739	27.799500	16.294972	29.139088	17.068384	28.694394	17.069974	27.802253	18.615207	27.805006	20.165209	25.131335	19.394976	23.791747	18.621564	24.236441	17.849742	23.788994	17.074740	25.125830	15.529507	25.123077	15.527919	26.015218	16.299741	26.462664
